1504222016022|建设选址意见书|-|-|巴林左旗城乡规划局|巴林左旗福山公园
1504222016013|建设用地规划许可证|-|-|巴林左旗城乡规划局|上京工业园区基础设施建设工程
1504222016021|建设用地规划许可证|-|-|巴林左旗城乡规划局|巴林左旗林东福山公园
1504222016008|建设选址意见书|-|-|巴林左旗城乡规划局|巴林左旗上京工业园区基础设施建设工程
1504222016001|建设项目选址意见书|-|-|巴林左旗城乡规划局|林东城区皇城路北段基础设施建设工程
1504222016007|建设选址意见书|-|-|巴林左旗城乡规划局|林东西外环道路东侧绿化景观工程
左环审[2016]10号|建设项目环境影响评价文件报批许可|-|-|巴林左旗环境保护局|赤峰市巴林左旗工业园区基础设施建设项目
1504222016020|建设用地规划许可证|-|-|巴林左旗城乡规划局|林东西外环道路东侧绿化景观工程
1504222016011|建设选址意见书|-|-|巴林左旗城乡规划局|巴林左旗上京工业园区基础设施建设工程
1504222016012|建设用地规划许可证|-|-|巴林左旗城乡规划局|上京工业园区基础设施建设工程
1504002016005|建设选址意见书|-|-|巴林左旗城乡规划局|赤峰市巴林左旗工业园区基础设施建设项目
