清环发[2015]115号|清水河县蒙西水泥有限公司制造分公司 封闭式混合材库项目环境影响报告表的批复|-|-|清水河县环境保护局|环境影响评价审批
清发经字[2015]166号|清水河县蒙西水泥有限公司熟料生产线收尘系统技术改造项目|-|-|清水河县发展改革和经济信息化局|对现有熟料生产线收尘系统3台高压风机进行变频技术改造，本项目在现有厂区内进行改造，不需要新增占地。

清环批字[2016]55号|清水河县蒙西水泥有限公司熟料生产线窑头电收尘器技改项目环境影响报告表的批复|-|-|清水河县环境保护局|建设项目环境影响评价审批
清环发[2014]146号|清水河县蒙西水泥有限公司 4500t/d新型干法熟料生产线工程检修备用锅炉房 项目环境影响报告表的批复|-|-|清环发[2014]146号|环境影响评价审批
地字第15012420150427003
 
号|建设用地规划许可证|-|-|清水河县住房和城乡建设局|建材运转中心项目 用地面积107815m2
清环发[2015]18号|清水河县蒙西水泥有限公司4500t/d新型干法 熟料生产线工程检修备用锅炉房项目 竣工环境保护验收的意见|-|-|清水河县环境保护局|建设项目竣工环境保护验收
(蒙)FM安许证字[2012]005253号|非煤矿山安全生产许可证|-|-|内蒙古自治区安全生产监督管理局|非金属矿山
地字第15012420150717018
 
号|建设工程规划许可证|-|-|清水河县住房和城乡建设局|清水河县蒙西水泥有限公司建材运转中心项目该项目总占地面积10.7815万㎡，建设年吞吐量350万吨建材运转中心，该项目总投资4750万元
清环发[2014]135号|清水河县蒙西水泥有限公司新建 砂岩、矸泥储库项目环境影响报告表的批复|-|-|清水河县环境保护局|环境影响评价审批
呼政商外资字[2015]59号 |关于清水河县蒙西水泥有限公司
变更投资总额、注册资本的批复
|-|-|商务局|公司投资总额、注册资本变更，公司投资额由18000万元人民币增至30000万元人民币。注册资本由18000万元人民币增至30000万元人民币。内蒙古蒙西水泥股份有限公司以32000万元人民币的债权（其中溢价20000万元人民币的债权）认购清水河县蒙西水泥有限公司增资的12000万元。增资后内蒙古蒙西水泥股份有限公司出资30000万元人民币，占注册资本的100%.
清环发[2015]118号|清水河县蒙西水泥有限公司熟料生产线收尘系统 技术改造项目环境影响报告表的批复|-|-|清水河县环境保护局|环境影响评价审批
2017.2.9|清水河县蒙西水泥有限公司熟料生产线收尘系统技术改造项目|-|-|清水河县环境保护局|建设项目竣工环境保护验收
清环发[2015]142号|清水河县蒙西水泥有限公司4500t/d熟料水泥生产线脱硝工程竣工环境保护验收的意见|-|-|清水河县环境保护局|建设项目竣工环境保护验收
