2019-02-14|商都中建金马冶金化工有限公司合同纠纷再审审查与审判监督民事裁定书|合同纠纷|再审申请人-商都中建金马冶金化工有限公司被申请人-智波交通运输设备有限公司|（2018）最高法民申4139号|https://www.tianyancha.com/lawsuit/af8eb4d551534ae697dddaa798125ed4
2019-01-31|山东玖泰铁合金有限公司与商都中建金马冶金化工有限公司、内蒙古迈拓新型建筑材料有限公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-山东玖泰铁合金有限公司被告-商都中建金马冶金化工有限公司,内蒙古迈拓新型建筑材料有限公司|（2018）鲁0321民初2938号|https://www.tianyancha.com/lawsuit/a6217172985c4acba792a8810dd80399
2018-12-10|大同市荣泰豪达工贸有限公司、商都中建金马冶金化工有限公司买卖合同纠纷执行裁定书|买卖合同纠纷|申请执行人-大同市荣泰豪达工贸有限公司被执行人-商都中建金马冶金化工有限公司|（2017）晋0221执168号之一|https://www.tianyancha.com/lawsuit/935caf1dfc6811e8a8b47cd30ae00894
2018-11-13|山东玖泰铁合金有限公司、商都中建金马冶金化工有限公司其他民事裁定书|-|申请人-山东玖泰铁合金有限公司被申请人-商都中建金马冶金化工有限公司,内蒙古迈拓新型建筑材料有限公司|（2018）鲁0321财保202号|https://www.tianyancha.com/lawsuit/830a33f7891845eabb171eca7f0571f1
2018-09-04|刘勇勇与史永强、商都中建金马冶金化工有限公司等机动车交通事故责任纠纷一审民事判决书|机动车交通事故责任纠纷|被告-商都中建金马冶金化工有限公司,中国人民财产保险股份有限公司太原市小店支公司|（2017）内0928民初965号|https://www.tianyancha.com/lawsuit/b63cbb09d7d211e8a8b47cd30ae00894
2018-09-04|王利忠与史永强、商都中建金马冶金化工有限公司等机动车交通事故责任纠纷一审民事判决书|机动车交通事故责任纠纷|被告-商都中建金马冶金化工有限公司,中国人民财产保险股份有限公司太原市小店支公司|（2017）内0928民初767号|https://www.tianyancha.com/lawsuit/e28c3779d7f611e8a8b47cd30ae00894
2017-12-28|山东鲁铭高温耐火材料股份有限公司与商都中建金马冶金化工有限公司承揽合同纠纷执行裁定书|承揽合同纠纷|被执行人-商都中建金马冶金化工有限公司|（2017）鲁0306执1134号之三|https://www.tianyancha.com/lawsuit/bfe1638f0a9511e881ec008cfaf870e0
2017-12-18|商都中建金马冶金化工有限公司与智波交通运输设备有限公司合同纠纷二审民事判决书|合同纠纷|上诉人-商都中建金马冶金化工有限公司被上诉人-智波交通运输设备有限公司|（2017）晋民终166号|https://www.tianyancha.com/lawsuit/bfeebb4e0a9511e881ec008cfaf870e0
2017-09-18|山东鲁铭高温材料股份有限公司、商都中建金马冶金化工有限公司承揽合同纠纷一审民事裁定书|承揽合同纠纷|申请人-山东鲁铭高温材料股份有限公司被申请人-商都中建金马冶金化工有限公司|（2017）鲁0306民初1557号|https://www.tianyancha.com/lawsuit/eabe4c5899c511e8a8b47cd30ae00894
2017-09-07|大同市荣泰豪达工贸有限公司、商都中建金马冶金化工有限公司买卖合同纠纷民事调解书|买卖合同纠纷|原告-大同市荣泰豪达工贸有限公司被告-商都中建金马冶金化工有限公司|（2017）晋0221民初314号|https://www.tianyancha.com/lawsuit/c26fd13c9f6611e788a5008cfaf8725a
2016-01-13|曹俊兰诉李福、郭善伟、商都中建金马冶金化工有限公司、中国人民财产保险股份有限公司太原市分公司机动车交通事故责任纠纷一审民事判决书|机动车交通事故责任纠纷|被告-商都中建金马冶金化工有限公司,中国人民财产保险股份有限公司太原市分公司|（2015）商民初字第500号|https://www.tianyancha.com/lawsuit/85ae0dd4ac6542d7b1304980166070ad
