宁发改字[2017]195号|关于宁城县紫蒙湖景区无动力滑索项目备案的通知|2017年08月01日|2019年08月01日|宁城县发展和改革局|建设无动力滑索2组，每组长度800米。其中建设滑索基站钢筋混凝土基础、上站及下站门型结构支架平台，安装吊具、缓冲装置、防护装置、吊具回收装置、承载索和牵引索等。
宁发改字[2017]300号|关于赤峰南部区域性旅游集散服务中心项目备案的通知|2017年10月27日|2019年10月27日|宁城县发展和改革局|项目总建筑面积65000平方米，建设客房楼、会展综合楼、餐饮楼、民宿宾馆、游客服务中心、旅游商店和文艺汇演中心（娱乐）等；建设广场、停车场32000平方米，景观水系40500立方米及购置消防、监控、安防等设备设施，配套供水、排水、供电、亮化美化设施。
150411101798|酒类流通备案登记表|2015年05月08日|-|宁城县商务局|白酒、啤酒、葡萄酒、果露酒、其他酒
150411101799|酒类流通备案登记表|2015年05月08日|-|宁城县商务局|白酒、啤酒、葡萄酒、果露酒、其他酒
内餐证字（2013）第150429000203号|餐饮服务许可证|2013年07月25日|-|宁城县食品药品监督管理局|含凉菜、不含生食海产品、不含裱花蛋糕
SP 1504291310034297|食品流通许可证|2013年08月15日|-|宁城县工商行政管理局|零售：预包装食品兼散装食品、不含乳制品
1504290290|特种行业许可证|2015年06月15日|-|宁城县公安局|住宿
宁卫公证字[2013]第150429000173号|卫生许可证|2013年12月10日|-|宁城县卫生局|住宿业
内卫公字[2013]第150429000107号|卫生许可证|2013年07月22日|-|宁城县卫生局|顾客就餐场所
（宁）公消年检字[2016]第005号|消防年度审核表|2016年01月27日|-|赤峰市宁城县公安消防大队|公共聚集场所
150400008|水路运输许可证|2013年07月01日|-|赤峰市交通运输局|水上船舶旅游 游乐
取水（蒙宁）字[二0一三]第23060701号|取水许可证|2013年06月20日|-|宁城县水利局|黑里河镇山神庙村道须沟旅游取水
