1522232016000028|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|工程规划许可
2016-015|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
2015-008|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
2015-012|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
152223201706020101|建设工程施工许可证|-|-|扎赉特旗住房和城乡规划建设局|施工许可
15222320160010|建设工程竣工规划核实合格证|-|-|扎赉特旗住房和城乡规划建设局|工程竣工规划核实许可
1522232016000023|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|工程规划许可
152223201710200101|建筑工程施工许可证|-|-|扎赉特旗住房和城乡规划建设局|施工许可
15222320150009（村）|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|工程规划许可
1522232015000060|建设用地规划许可证|-|-|扎赉特旗住房和城乡规划建设局|用地规划许可
152223201507070101|建筑工程施工许可证|-|-|扎赉特旗住房和城乡规划建设局|施工许可
2016-015|商品房预销售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
2016-011|商品房预销售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
152223201600055（村）|建设用地规划许可证|-|-|扎赉特旗住房和城乡规划建设局|用地规划许可
1522232016000012|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|工程规划许可
1522232016000022|建设用地规划许可证|-|-|扎赉特旗住房和城乡规划建设局|用地规划许可
2016-012|商品房预销售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
152223201606240101|建筑工程施工许可证|-|-|扎赉特旗住房和城乡规划建设局|建筑工程施工许可
15222320140006（村）|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|工程规划许可
2017-016|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
152223201506240201|建筑工程施工许可证|-|-|扎赉特旗住房和城乡规划建设局|施工许可
2015-016|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
2016-012|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
15222320160032（村）|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|工程规划许可
15222320150000051|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|工程规划许可
152223201410210101|建筑工程施工许可证|-|-|扎赉特旗住房和城乡规划建设局|施工许可
扎环审字2015第89号|倚山小筑环评批复|-|-|扎赉特旗环境保护局|同意按照环评报告表所列项目选址、性质、规模、环保措施进行建设。
152223201600055(村)|建设用地规划许可证(乡村)|-|-|扎赉特旗住房与城乡规划建设局|建设用地许可
2015-011|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
1522232017000020|建设用地规划许可证|-|-|扎赉特旗住房和城乡规划建设局|    光泰世纪城
扎环审字2015第108号|扎赉特旗金鼎名苑1-5号商住楼，A、B商业楼|-|-|扎赉特旗环境保护局|同意按照登记表所列项目选址、性质、规模、环保措施进行建设。
1522232016000037|建设用地规划许可证|-|-|扎赉特旗住房和城乡规划建设局|用地规划许可
扎环审字2016第101号|光明郡府二期项目环评批复|-|-|扎赉特旗环境保护局|同意按照登记所列项目选址、性质、规模、环保措施进行建设。
扎环审字2016第123号|新晟家园项目环评批复|-|-|扎赉特旗环境保护局|同意按照环评报告表所列项目选址、性质、规模、环保措施进行建设。
2017-029|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
扎国 许变更准[2016]93号|《准予变更税务行政许可决定书》|-|-|内蒙古自治区扎赉特旗国家税务局|对增值税防伪税控系统最高开票限额的审批
15222320150000058|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|工程规划许可
152223201609260101|建筑工程施工许可证|-|-|扎赉特旗住房和城乡规划建设局|建筑工程施工许可
152223201410220101|建筑工程施工许可证|-|-|扎赉特旗住房和城乡规划建设局|施工许可
1522232015000047|建设用地规划许可证|-|-|扎赉特旗住房和城乡规划建设局|用地规划许可
1522232017000024|建设工程规划许可证|-|-|扎赉特旗住房和城乡规划建设局|光泰世纪城
152223201505140101|建筑工程施工许可证|-|-|扎赉特旗住房和城乡规划建设局|施工许可
扎环审字2015第71号|好力保锦绣家园2#楼项目环评批复|-|-|扎赉特旗环境保护局|同意按照登记表所列项目选址、选址、规模、内容、环保措施进行建设。
2016-011|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
2014-035|商品房预售许可证|-|-|扎赉特旗住房和城乡规划建设局|商品房预销售许可
 15222320160005|建设工程竣工规划核实合格证|-|-|扎赉特旗住房和城乡规划建设局|工程竣工规划核实许可
