宝龙商业新规划正式启航创启+赋能+共赢全面推进商业前行|-|绫致时装（天津）有限公司总经理唐洁女士、浙江森马服饰股份有限公司总经理胡剑萍女士、内蒙古西贝餐饮连锁有限责任公司高级副总裁李志宏先生、百胜（中国|-|搜狐焦点|-|5天前|-|https://news.tianyancha.com/detail/b989d78600de4f11801bf0133f50dbdf3f80dd38.html
宝龙商业发布全新规划：深耕长三角科技赋能新商业|-|▲宝龙商业新规划启航仪式 大会现场，无印良品（上海）商业有限公司董事长清水智、内蒙古西贝餐饮连锁有限责任公司高级副总裁李志宏分别代表品牌合作商发言|-|联商网|-|5天前|-|https://news.tianyancha.com/detail/a42d393f44218cb99f50b68426038058c16966e4.html
最适合夏天吃的凉皮又成餐桌主品--全自动凉皮机让其劲道又爽滑|-|九毛九餐饮连锁 | 深圳西贝莜面村餐饮有限责任公司 北京九和药业有限公司 | 内蒙古西贝餐饮连锁有限责任公司 北京陕味食族餐饮连锁 | 望湘园（上海）餐饮管理有限公司|-|微信公众号|-|2019年05月16日|-|https://news.tianyancha.com/detail/b5791449c0e63d3987128635266c50843fc5be25.html
2019七星星研会：数字科技让食安管理更高效，但最关键的还是人|-|将心比心地告诉他这是公司的制度，他的执行力就会不一样。"聂豫蓉称。 在现场的圆桌讨论中，内蒙古西贝餐饮连锁有限责任公司副总裁杨秀松提出，企业对于食品安全的认识有两个阶段，第一个阶段是重视|-|第一财经|-|2019年03月21日|-|https://news.tianyancha.com/detail/b431decda5d0f433e928e8a0df238d1bac395651.html
国研最新全自动河粉凉皮机来了，创富首选项目，欲购从速！|-|九毛九餐饮连锁 | 深圳西贝莜面村餐饮有限责任公司 北京九和药业有限公司 | 内蒙古西贝餐饮连锁有限责任公司 北京陕味食族餐饮连锁 | 望湘园（上海）餐饮管理有限公司|-|微信公众号|-|2019年03月12日|-|https://news.tianyancha.com/detail/b6c9cab4396b2cc87bea4199e3af9749cc21684b.html
办个豆芽加工作坊吧，国研全自动豆芽机最合适，省事又赚钱的项目真的有！|-|上海西贝莜面村餐饮管理有限公司 深圳西贝莜面村餐饮管理有限公司 鄂尔多斯市西贝餐饮有限责任公司 内蒙古西贝餐饮连锁有限责任公司呼市第一分公司 国防大学 河南新大新超市 北京军林绿美苗圃公司||-|微信公众号|-|2019年03月06日|-|https://news.tianyancha.com/detail/8f88be7513031c6707ea26f532a18a15fc93a5e0.html
高质量发展时代，餐饮业如何作为|-|" 金拱门（中国）有限公司食品安全副总裁兼七星联盟常务理事会主席王昉先生、内蒙古西贝餐饮连锁有限责任公司副总裁楚学友先生|-|大众新闻网|-|2018年04月18日|-|https://news.tianyancha.com/detail/e5b5c2567731e1a2d02ffb2d75c31b2560b68c08.html
创新迭代，餐饮企业保鲜品牌无捷径|-|留住消费者。目前真功夫在广州已经开了11家快餐3.0的体验改造店。 内蒙古西贝餐饮连锁有限责任公司副总裁楚学友：截至2016年11月|-|中国产业经济信息网|-|2016年12月02日|-|https://news.tianyancha.com/detail/6b546be04b4181f86f494293ff4c38c5bb278447.html
餐饮业重回两位数增长多层次细分化格局初现|-|对房租也有补贴。建议我国进一步完善相关法规和标准，出台扶持学生餐的措施。 内蒙古西贝餐饮连锁有限责任公司副总裁楚学友说，一些电商平台和第三方支付机构开始出现垄断苗头|-|中国产业经济信息网|-|2016年11月21日|-|https://news.tianyancha.com/detail/ca31584f4aeceba30c49a1692dd009380d884e4a.html
金桥资本第3届草原峰会|-|红十三基金合伙人、趋势沙龙创办人付德坤，红寺堡壹加壹农牧业科技开发有限公司总经理王振和，内蒙古西贝餐饮连锁有限责任公司董事、战略副总裁邓德海，北京达创空间创业服务中心创始人卜玉强等人前来|-|微信公众号|-|2016年08月01日|-|https://news.tianyancha.com/detail/b21f2c8d27cc30805d1c447aae2d4070f4c5b3ed.html
首批“内蒙古名片+价值品牌”企业入围榜单|-|7.内蒙古蒙牛乳业集团股份有限公司 8.内蒙古永业农丰生物科技有限公司 9.内蒙古西贝餐饮连锁有限责任公司 10.内蒙古圣牧高科牧业有限公司|-|微信公众号|-|2015年09月29日|-|https://news.tianyancha.com/detail/727a2d010ce6ec30632ded8d70b80101f982c703.html
