T15120080302005045|探矿权|-|-|内蒙古自治区国土资源厅|盟市探矿权变更申请
巴水工字【2013】10003号|取水许可证|-|-|巴彦淖尔市水务局|许可取水量：295万立方米；取水工程：机电井；取水地点：获各琦苏木周边
巴环审发【2018】8号|环保主管部门批文|2018年01月31日|-|巴彦淖尔市环保局|允许项目按照报告及批复内容建设
巴水发（2018）266号|获各琦矿区一号矿床多金属采选|2018年08月17日|2020年08月17日|巴彦淖尔市水务局|获各琦矿区一号矿床多金属采选
巴水工【2018】第20007号|取水许可证|2018年08月17日|2023年02月01日|巴彦淖尔市水务局|取水许可
巴水工【2018】第20007号|取水许可|2018年08月17日|2023年02月01日|巴彦淖尔市水务局|生活用水21.1万立方米
巴水发（2018）266号|生产建设项目水土保持方案审批|2018年08月20日|2099年12月31日|巴彦淖尔市水务局|获各琦矿区一号矿床多金属采选
（蒙）FM安许证字【2014】004812号|安全生产许可证|2017年06月09日|-|内蒙古自治区安全生产监督管理局|单位名称：巴彦淖尔西部铜业有限公司获各琦第三尾矿库
许可范围;尾矿库运行
1000000620109|采矿许可证|2006年09月28日|-|中华人民共和国国土资源部|采矿权人：巴彦淖尔西部铜业有限公司
开采矿种：铜矿、铅锌、铁
开采方式：地下开采
生产规模：270.00万吨/年
（蒙）FM安许证字【2012003130】号|安全生产许可证|2015年09月06日|-|内蒙古自治区安全生产监督管理局|单位名称：巴彦淖尔西部铜业有限公司
许可范围：铁矿、铜矿、铅矿、锌矿地下开采
（蒙）FM安许证字【2013】004581号|安全生产许可证|2016年10月21日|-|内蒙古自治区安全生产监督管理局|单位名称：巴彦淖尔西部铜业有限公司采矿厂(1450m以上）
许可范围：铁矿、铜矿、铅矿、锌矿地下开采
（蒙）FM安许证字【2017】004370号|安全生产许可证|2017年10月10日|-|内蒙古自治区安全生产监督管理局|单位名称：巴彦淖尔西部铜业有限公司选矿厂二号尾矿库
许可范围：尾矿库运行
