2019-05-27|安徽盛运重工机械有限责任公司与内蒙古创源金属有限公司定金合同纠纷管辖民事裁定书|定金合同纠纷|上诉人-安徽盛运重工机械有限责任公司被上诉人-内蒙古创源金属有限公司|（2019）内05民辖终30号|https://www.tianyancha.com/lawsuit/826cedd40c54496787ab0cd983efdabd
2019-04-02|内蒙古创源金属有限公司与四川乾亨建设工程有限公司、四川乾亨建设工程有限公司创源金属项目部一审民事裁定书|-|原告-内蒙古创源金属有限公司被告-四川乾亨建设工程有限公司|（2018）内0581民初2119号|https://www.tianyancha.com/lawsuit/d174fabe4e94492eab2bbea5c9f480ab
2019-04-02|上海络蹿实业有限公司与内蒙古创源金属有限公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-上海络蹿实业有限公司被告-内蒙古创源金属有限公司|（2019）内0581民初584号|https://www.tianyancha.com/lawsuit/f4d5bf7d6a1e4dc19d0f02298fb3d8d7
2019-04-02|内蒙古创源金属有限公司与四川乾亨建设工程有限公司建设工程施工合同纠纷一审民事判决书|建设工程施工合同纠纷|原告-内蒙古创源金属有限公司被告-四川乾亨建设工程有限公司|（2018）内0581民初2119号|https://www.tianyancha.com/lawsuit/6601e19abb3845c6a399f9222bc62b7f
2019-03-26|辽宁东地建筑岩土工程有限公司与内蒙古创源金属有限公司建设工程施工合同纠纷一审民事裁定书|建设工程施工合同纠纷|原告-辽宁东地建筑岩土工程有限公司被告-内蒙古创源金属有限公司|（2019）内0581民初644号|https://www.tianyancha.com/lawsuit/b37c20963e9c45919c2f9e6d440db091
2019-03-26|戴洪涛与周旭飞民间借贷纠纷一审民事判决书|民间借贷纠纷|原告-内蒙古创源金属有限公司|（2019）内0581民初100号|https://www.tianyancha.com/lawsuit/2b2ae9198ff54c1ea608c93431140de7
2019-03-19|辽宁际洲环保节能建材有限公司与内蒙古创源金属有限公司建设工程施工合同纠纷一审民事判决书|建设工程施工合同纠纷|原告-辽宁际洲环保节能建材有限公司被告-内蒙古创源金属有限公司|（2018）内0581民初370号|https://www.tianyancha.com/lawsuit/f735f65e3d844227adb86f94d189f12e
2018-12-25|蒋慧敏与内蒙古创源金属有限公司、白长林机动车交通事故责任纠纷民事裁定书|机动车交通事故责任纠纷|被告-内蒙古创源金属有限公司|（2018）内0581民初2371号|https://www.tianyancha.com/lawsuit/376c7caa6bfe497f97eb719d6b817643
2018-12-17|内蒙古创源金属有限公司与辽宁际洲环保节能建材有限公司建设工程施工合同纠纷二审民事判决书|建设工程施工合同纠纷|上诉人-内蒙古创源金属有限公司被上诉人-辽宁际洲环保节能建材有限公司|（2018）内05民终1422号|https://www.tianyancha.com/lawsuit/6fb1bc0e02f911e9a8b47cd30ae00894
2018-09-07|内蒙古创源金属有限公司与四川乾亨建设工程有限公司建设工程施工合同纠纷一审民事裁定书|建设工程施工合同纠纷|原告-内蒙古创源金属有限公司被告-四川乾亨建设工程有限公司|（2018）内0581民初332号|https://www.tianyancha.com/lawsuit/749a37ccd7a911e8a8b47cd30ae00894
2018-09-06|杨晓刚与邵杰、国都建设（集团）有限公司机动车交通事故责任纠纷一审民事判决书|机动车交通事故责任纠纷|原告-内蒙古创源金属有限公司被告-国都建设（集团）有限公司|（2018）内0581民初364号|https://www.tianyancha.com/lawsuit/b6a40ed3d7b811e8a8b47cd30ae00894
2018-07-30|刘海生与内蒙古创源金属有限公司劳动争议再审审查与审判监督民事裁定书|劳动争议|被申请人-内蒙古创源金属有限公司|（2018）内民申657号|https://www.tianyancha.com/lawsuit/fbe8a275a9dc11e8a8b47cd30ae00894
2017-12-28|内蒙古创源金属有限公司合同、无因管理、不当得利执行实施类执行裁定书|-|申请执行人-北大荒建设集团有限公司被执行人-内蒙古创源金属有限公司|（2017）内0581执324号|https://www.tianyancha.com/lawsuit/b6f2d07c3ad711e8b0207cd30ae00c08
2017-10-24|刘海生与内蒙古创源金属有限公司劳动争议二审民事判决书|劳动争议|被上诉人-内蒙古创源金属有限公司|（2017）内05民终239号|https://www.tianyancha.com/lawsuit/868df3453f2511e8b0207cd30ae00c08
2017-07-24|李国祥与李玉柱、邹平县恩硕钢结构有限公司等租赁合同纠纷一审民事判决书|租赁合同纠纷|被告-邹平县恩硕钢结构有限公司,内蒙古创源金属有限公司|（2017）内0581民初83号|https://www.tianyancha.com/lawsuit/2359cefe9b8e11e788a5008cfaf8725a
2016-12-12|刘洪刚与内蒙古创源金属有限公司追索劳动报酬纠纷二审民事判决书|追索劳动报酬纠纷|被上诉人-内蒙古创源金属有限公司|（2016）内05民终1707号|https://www.tianyancha.com/lawsuit/9e857c83eb10463593637b745f1798fb
2016-09-13|刘洪刚诉内蒙古创源金属有限公司劳动争议一案一审民事判决书|劳动争议|被告-内蒙古创源金属有限公司|（2016）内0581民初第274号|https://www.tianyancha.com/lawsuit/227c8ad24cc041e0a1b212ed37a9d726
