起19蒙GJ0004(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起17蒙GJ0015(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起17蒙GJ0014(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起17蒙GJ0013(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
梯11蒙GJ0074(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|电梯使用注册登记
起17蒙GJ0016(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起11蒙GJ0027(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起19蒙GJ0002(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起17蒙GJ0011(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
霍国 许准 〔2017〕 12 号|《准予税务行政许可决定书》|-|-|霍林郭勒市国家税务局|对增值税防伪税控系统最高开票限额的审批
起17蒙GJ0012(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起19蒙GJ0003(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起19蒙GJ0001(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起17蒙GJ0017(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起17蒙GJ0010(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起11蒙GJ0028(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
梯11蒙GJ0073(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|电梯使用注册登记
起17蒙GJ0018(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
起11蒙GJ0029(17)|中华人民共和国特种设备使用登记证|-|-|霍林郭勒市质量技术监督局|起重机械使用注册登记
