【新闻】内蒙古自治区科技厅副巡视员云涛等一行莅临中加农业公司考察调研|-|乌兰察布市科技局局长王清及内蒙古农业大学、国际蒙医院专家教授等一行40余人莅临内蒙古中加农业生物科技有限公司（简称“中加公司”）考察调研。|-|微信公众号|-|2019年05月22日|-|https://news.tianyancha.com/detail/ad0d332993d57aa1864e925e764e881d91b1fedb.html
我市组团参加第四届丝绸之路国际博览会取得骄人成果|-|这一国际性展会平台，为 “内蒙古牧星人新材料科技有限公司”、“内蒙古阿尔格生命科学有限公司”、“内蒙古中加农业生物科技有限公司”、“内蒙古欣源石墨烯科技股份有限公司”、“内蒙古瑞盛新能源有限公司|-|微信公众号|-|2019年05月20日|-|https://news.tianyancha.com/detail/0a726c26607ad9f3c4153f4f7c7e4acb4f271ae2.html
【新闻】第四届丝绸之路国际博览会暨中国东西部合作与投资贸易洽谈会|-|四子王旗人民政府副旗长李耀率旗政府办、工业和信息化局以及内蒙古中加农业生物科技有限公司、内蒙古阿尔格生命科学有限公司参加了在陕西省西安市举办的|-|微信公众号|-|2019年05月15日|-|https://news.tianyancha.com/detail/21e3fa98cb00ec14217be96bf4678b51dbb6197d.html
【知识】马铃薯土传病害发生流行的关键因素​|-|需要正确判断才能有效治疗，否则一旦错过了最佳的防治时期就很难挽回。 来源：农视网 更多中加农业详情请长按下方二维码识别关注即可！ 敬 请 关|-|微信公众号|-|2019年05月09日|-|https://news.tianyancha.com/detail/e9b03d96788ed9fabaab3a1e22666cd037a27b6f.html
内蒙古自治区人民政府发布通知|-|301.东乌珠穆沁旗元盛食品有限公司 302.锡林浩特市祥和绒毛制品有限公司 乌兰察布市 303.内蒙古中加农业生物科技有限公司 ※304.内蒙古赛诺种羊科技有限公司|-|澎湃新闻网|-|2019年05月07日|-|https://news.tianyancha.com/detail/821505ecc310c3a4744dee8287d42c5ddb72c40a.html
2019年内蒙古自治区西部地区退役军人就业专场招聘会现场大会参会企业名录|-|展位1 包钢（集团）公司 展位2 包头铝业有限公司 展位3 一机集团 展位4 内蒙古中加农业生物科技有限公司 展位5 内蒙古顺风速运有限公司 展位6|-|微信公众号|-|2019年04月24日|-|https://news.tianyancha.com/detail/21fe9344a56d3bd3d8b4ed49d2b025ff409ca5ef.html
【新闻】内蒙古中加农业生物科技有限公司荣获“星创天地”荣誉称号|-|2019年内蒙古自治区众创空间星创天地年会”会上内蒙古自治区火炬高技术产业开发中心向内蒙古中加农业生物科技有限公司授予了“内蒙古自治区星创天地|-|微信公众号|-|2019年04月04日|-|https://news.tianyancha.com/detail/663d1f08946d1d1287d35ffeaf41e3ef85bb5f85.html
【新闻】团结奋进你我中加暨2019年元旦联欢会圆满成功|-|中加农业以“团结奋进 你我中加”为主题，向辛勤忙碌了一年的员工及合作单位的嘉宾呈现了一场让观者震撼不已、回味无穷的饕餮盛宴。 过去的一年，是不平凡的一年。|-|微信公众号|-|2019年01月02日|-|https://news.tianyancha.com/detail/44e742791763c340986c6b8c77de8cfb546580e1.html
【新闻】内蒙古中加农业生物科技有限公司上央视新闻啦!|-| 中加农业副总经理刘广晶带领央视记者参观了园区的组培技术中心、原原种生产区、种薯库等功能型生产区域，参观过程中|-|微信公众号|-|2018年12月13日|-|https://news.tianyancha.com/detail/4c1d8f294c2495dabcf14672fb73ebbc0a572c47.html
【新闻】内蒙古自治区副主席张韶春莅临内蒙古中加农业公司进行考察调研|-|   近日，内蒙古自治区副主席张韶春莅临内蒙古中加农业生物科技有限公司进行考察调研。四子王旗旗长赵利国、光大能源公司总经理贺沁铭等领导陪同调研。![]|-|微信公众号|-|2018年12月11日|-|https://news.tianyancha.com/detail/f4a5d367beebe0038c1788e4ab8c49f475f4d3cc.html
