北京东方国信科技股份有限公司|管连平|010-84866666|investor@bonc.com.cn|www.bonc.com.cn|北京市朝阳区创达三路1号院1号楼7层101|105668.009万|1997-07-28|在业|110105002496292|91110000633027609B|633027609|91110000633027609B|股份有限公司(上市、自然人投资或控股)|2008-06-30至无固定期限|软件和信息技术服务业||2018-11-20|104996.948万|1000-4999人|1977|朝阳分局||Business-intelligence of Oriental Nations Corporation Ltd.|北京市朝阳区创达三路1号院1号楼7层101附近公司|计算机软硬件、机电一体化产品、计算机系统集成的技术开发、技术咨询、技术服务、技术培训、技术转让；销售自行开发后产品、计算机、软件及辅助设备、电子产品、通讯设备、仪器仪表；租赁计算机软硬件；企业策划；信息咨询（中介除外）；市场调查；设计、制作、代理、发布广告；货物进出口、技术进出口、代理进出口；出租办公用房；物业管理；计算机系统服务；合同能源管理；互联网信息服务（不含新闻、出版、教育、医疗保健、药品和医疗器械、电子公告服务）。（企业依法自主选择经营项目，开展经营活动；互联网信息服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）|北京东方国信科技股份有限公司（以下简称&quot;东方国信公司&quot;）成立于1997年，是信息产业部认定的软件企业和北京市中关村高新技术企业，并通过了ISO9001:2000质量管理体系认证。东方国信公司长期致力于中国国内电信领域的BI（商业智能）、CRM（客户关系管理）、CTI等软件开发、服务与解决方案，拥有多项软件产品专利，是中国联通和中国电信的业务支撑系统的核心合作厂商之一，也是中国铁通业务支撑的三家核心厂商之一。同时，公司在软件外包和业务流程外包方面取得飞速发展，分别在大连和重庆建立软件服务外包基地。2011年01月25日，北京东方国信科技股份有限公司（股票代码：300166，公司简称：东方国信）1月14日发行的1017.6万股A股股票，今日在深圳证券交易所挂牌。
红山区航安货运站|徐海峰||||内蒙古自治区赤峰市红山区桥北镇物流园区|50000万|2009-07-02|吊销|150401600000660||||个体户|2009-07-02至2011-12-31|道路运输业||2009-07-02||||赤峰市工商行政管理局经济开发区分局|||内蒙古自治区赤峰市红山区桥北镇物流园区附近公司|配载、信息服务。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
红山经济开发区隆为尔招待所|曹玉香|13848277885|1138841961@qq.com||内蒙古自治区赤峰市红山区桥北镇物流园区||2009-07-09|注销|150401600000643||||个体工商户||住宿业||2018-11-23||||赤峰市工商行政管理局红山区分局|红山区隆为尔招待所||内蒙古自治区赤峰市红山区桥北镇物流园区附近公司|旅客住宿（不得提供互联网上网服务）（卫生许可证有效期至2011年6月8日）；主食、热菜肴加工销售、酒水销售（食品卫生许可证有效期至2013年6月12日）|
赤峰市红山区康机汽车修理部|任秀英||||内蒙古自治区赤峰市红山区桥北大街路西旧货市场对过|0.3万人民币|2005-11-04|吊销|150401600006945||||个体户|2005-11-04至2011-12-31|机动车、电子产品和日用产品修理业||2005-11-04||||赤峰市工商行政管理局经济开发区分局|||内蒙古自治区赤峰市红山区桥北大街路西旧货市场对过附近公司|许可经营项目：汽车小修、油品更换一般经营项目：汽车配件销售 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰市多创房地产开发有限公司|张金堂||||红山区红庙子中心街|2000万人民币|2011-07-25|注销|150401000001712||||有限责任公司(自然人投资或控股)|2011-07-25至2061-07-25|房地产业||2013-12-25||||赤峰市工商行政管理局经济开发区分局|||红山区红庙子中心街附近公司|房地产开发、五金、建材销售。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰远联钢管有限公司|时金钰||||内蒙古自治区赤峰市红山区东城办事处红旗路居委会|460万|2012-09-21|注销|150401000004563||||有限责任公司(自然人投资或控股)(1130)|2012-09-21至2042-09-20|黑色金属冶炼和压延加工业||2015-08-05||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区东城办事处红旗路居委会附近公司|许可经营项目：无 一般经营项目：高精度焊管加工、销售|赤峰远联钢管有限公司成立于2012年09月21日，主要经营范围为许可经营项目：无一般经营项目：高精度焊管加工、销售等。
赤峰美通锅炉设备有限公司|商雅琳||||赤峰市红山区东城办事处二毛居委会34幢303号|300万|2014-04-17|注销|150401000007470||||有限责任公司(自然人独资)(1151)|2014-04-17至无固定期限|批发业||2015-10-22||||赤峰市工商行政管理局红山区分局|||赤峰市红山区东城办事处二毛居委会34幢303号附近公司|许可经营项目：无 一般经营项目：锅炉及设备销售|赤峰美通锅炉设备有限公司成立于2014年04月17日，主要经营范围为许可经营项目：无一般经营项目：锅炉及设备销售等。
赤峰恒亿新能源开发有限公司|崔振龙|8210512|||赤峰市红山经济开发区管委会|50万|2013-08-15|注销|150401000005861|911504020755677066|075567706|911504020755677066|其他有限责任公司(1190)|2013-08-15至2043-08-14|电力、热力生产和供应业||2017-06-21|50万|||赤峰市工商行政管理局红山区分局|||赤峰市红山经济开发区管委会附近公司|许可经营项目：无 一般经营项目：新能源技术研发；新能源发电系统规划、设计、研究、开发、技术咨询与服务；合同能源管理；新能源发电项目投资、管理；光伏发电系统相关产品、设备销售|
赤峰嘉骏投资管理有限责任公司|王肇强||||赤峰市红山区东城办事处东城大街路南、红山广场东侧阳光丽景小区经济适用房4-1-01017|1000万|2014-04-18|吊销|150401000007496||||有限责任公司(自然人独资)(1151)|2014-04-18至无固定期限|商务服务业||2014-04-18||||赤峰市工商行政管理局红山区分局|||赤峰市红山区东城办事处东城大街路南、红山广场东侧阳光丽景小区经济适用房4-1-01017附近公司|许可经营项目：无 一般经营项目：投资管理、商务咨询、理财信息咨询|赤峰嘉骏投资管理有限责任公司成立于2014年04月18日，主要经营范围为许可经营项目：无一般经营项目：投资管理、商务咨询、理财信息咨询等。
赤峰中元商贸有限公司|武汉丽|13848463666|405050390@qq.com||内蒙古自治区赤峰市红山物流园区恩志物流中转站2号|100万|2012-04-24|注销|150401000003675||||有限责任公司(自然人投资或控股)(1130)|2012-04-24至2032-04-23|批发业||2017-03-08|100万|||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山物流园区恩志物流中转站2号附近公司|许可经营项目：无 一般经营项目：矿产品、冶炼废渣、化工产品（不含危险化学品及一类易制毒化学品）、农副产品（不含许可项目）、建筑材料、金属材料、机械设备、矿山设备及配件、电脑及配件、日用百货销售；自营和代理各类商品和技术的进口，但国家限定公司经营或禁止进口的商品和技术除外|
赤峰市红山区亚轮轮胎经销处|董风雷||||内蒙古自治区赤峰市红山区桥北镇物流园区8-4号||2006-01-03|注销|150401600000137||||个体工商户||零售业||2018-11-26||||赤峰市工商行政管理局红山区分局|||内蒙古自治区赤峰市红山区桥北镇物流园区8-4号附近公司|轮胎销售|
