1150422017031502364|准予税务行政许可决定书|-|-|赤峰市克什克腾国家税务局|对增值税防伪税控系统最高开票限额的审批
内林资许准[2015]595号|克什克腾旗朗诚瑞风电力发展有限公司上头地风电场至汇枫220千伏输变电（内蒙段）工程项目|-|-|内蒙古自治区林业厅|使用林地
克水2016第003号|取水许可证|-|-|克什克腾旗水利局|取水许可
0476克旗001201704006|动产抵押登记|2017年12月22日|2030年09月16日|克什克腾旗市场监督管理局|动产抵押登记36000万元
赤克什克腾核变通内字【2016】第1601185784号|核准变更登记通知书|2016年06月12日|-|克什克腾旗市场监督管理局|法定代表人李保胜变更为张勇
注册资本9200万元人民币变更为18000万元人民币
股东河北红松风力发电股份有限公司、内蒙古卓能投资有限公司变更为河北红松风力发电股份有限公司、内蒙古卓能投资有限公司、王永全
赤克什克腾核变通内字【2015】第1501259089号|核准变更登记通知书|2015年05月07日|-|克什克腾旗工商行政管理局|股权变更登记
赤克什克腾核变通内字【2015】第1502251915号|核准变更登记通知书|2015年07月14日|-|克什克腾旗工商行政管理局|注册资本3950万元人民币变更为8740万元人民币
赤克什克腾核变通内字【2016】第1602427625号|核准变更登记通知书|2016年12月29日|-|克什克腾旗市场监督管理局企业注册登记管理股|变更股东：由河北红松风力发电股份有限公司、内蒙古卓能投资有限公司、王永全变更为内蒙古卓能投资有限公司、王永全
赤克什克腾核变通内字【2015】第1502526212号|核准变更登记通知书|2015年09月08日|-|克什克腾旗工商行政管理局|注册资本由8740万元变更为9200万元；股东由河北红松风力发电股份有限公司变更为河北红松风力发电股份有限公司、内蒙古卓能投资有限公司。
