2019-03-28|高丽娟与内蒙古伊东煤炭集团有限责任公司买卖合同纠纷再审审查与审判监督民事裁定书|买卖合同纠纷|被申请人-内蒙古伊东煤炭集团有限责任公司|（2017）内民申1019号|https://www.tianyancha.com/lawsuit/1379e11d50004a53aac98dcaf184d2e5
2019-01-04|平安银行股份有限公司深圳分行、内蒙古伊东煤炭集团有限责任公司金融借款合同纠纷一审民事裁定书|金融借款合同纠纷|申请人-平安银行股份有限公司深圳分行被申请人-内蒙古伊东资源集团股份有限公司,杨二喜,内蒙古伊东煤炭集团有限责任公司,鄂尔多斯市国有资产投资控股集团有限公司|（2018）粤民初14号|https://www.tianyancha.com/lawsuit/ba3fb17ce04c4b50ae11c22e01ab503d
2019-01-04|内蒙古伊东煤炭集团有限责任公司、鄂尔多斯市国有资产投资控股集团有限公司金融借款合同纠纷一审民事裁定书|金融借款合同纠纷|申请人-平安银行股份有限公司深圳分行被申请人-内蒙古伊东资源集团股份有限公司,杨二喜,内蒙古伊东煤炭集团有限责任公司,鄂尔多斯市国有资产投资控股集团有限公司|（2018）粤民初14号之一|https://www.tianyancha.com/lawsuit/d2e4290e556b410ebd295d79b9eea397
2019-01-02|中铁物总能源有限公司等合同执行裁定书|-|申请执行人-中铁物总能源有限公司被执行人-内蒙古伊东集团煤炭运销有限责任公司,内蒙古伊东煤炭集团有限责任公司|（2018）京01执235号|https://www.tianyancha.com/lawsuit/5bf005fa25074d44b86cb922c4a347c5
2018-12-29|丰汇租赁有限公司等合同执行裁定书|-|被执行人-内蒙古伊东煤炭集团有限责任公司,内蒙古伊东资源集团股份有限公司,丰汇租赁有限公司|（2018）京02执593号|https://www.tianyancha.com/lawsuit/df6f2b070bd311e9a8b47cd30ae00894
2018-12-29|丰汇租赁有限公司等合同执行裁定书|-|被执行人-内蒙古伊东煤炭集团有限责任公司,内蒙古伊东资源集团股份有限公司,丰汇租赁有限公司|（2018）京02执593号之一|https://www.tianyancha.com/lawsuit/3e5737820dbb11e9a8b47cd30ae00894
2018-12-27|中国农业银行股份有限公司准格尔旗支行与准格尔旗神陶煤炭运销有限责任公司、内蒙古伊东煤炭集团有限责任公司金融借款合同纠纷一审民事裁定书|金融借款合同纠纷|原告-中国农业银行股份有限公司准格尔旗支行被告-准格尔旗神陶煤炭运销有限责任公司,内蒙古伊东煤炭集团有限责任公司|（2017）内06民初195号|https://www.tianyancha.com/lawsuit/97ad3e020a6311e9a8b47cd30ae00894
2018-12-27|丰汇租赁有限公司等与中国进出口银行合同纠纷二审民事裁定书|合同纠纷|上诉人-丰汇租赁有限公司,内蒙古伊东煤炭集团有限责任公司被上诉人-内蒙古伊东资源集团股份有限公司|（2018）京民终411号|https://www.tianyancha.com/lawsuit/625174840a5211e9a8b47cd30ae00894
2018-12-17|广东摩德纳科技股份有限公司与内蒙古伊东煤炭集团有限责任公司买卖合同纠纷终结本次执行裁定书|买卖合同纠纷|申请执行人-科技股份有限公司被执行人-内蒙古伊东煤炭集团有限责任公司|（2016）内0622执1638号|https://www.tianyancha.com/lawsuit/fa97e20e032011e9a8b47cd30ae00894
2018-12-01|内蒙古伊东煤炭集团有限责任公司、内蒙古伊东煤炭集团有限责任公司大庙渠煤矿与庞志敏买卖合同纠纷二审民事判决书|买卖合同纠纷|上诉人-内蒙古伊东煤炭集团有限责任公司|（2018）内06民终744号|https://www.tianyancha.com/lawsuit/1bd930b4f56911e8a8b47cd30ae00894
2018-11-22|枣庄富恒机电设备有限公司与内蒙古伊东煤炭集团有限责任公司、内蒙古伊东集团孙家壕煤炭有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-枣庄富恒机电设备有限公司被告-内蒙古伊东煤炭集团有限责任公司,内蒙古伊东集团孙家壕煤炭有限责任公司|（2016）内0622民初4847号|https://www.tianyancha.com/lawsuit/41ee07a7ee2411e8a8b47cd30ae00894
2018-11-15|内蒙古伊东资源集团股份有限公司、华融国际信托有限责任公司营业信托纠纷二审民事裁定书|营业信托纠纷|上诉人-内蒙古伊东资源集团股份有限公司被上诉人-华融国际信托有限责任公司,内蒙古伊东集团古城煤炭有限责任公司,内蒙古伊东煤炭集团有限责任公司,内蒙古伊东集团科宇高新技术开发有限责任公司|（2018）最高法民辖终203号|https://www.tianyancha.com/lawsuit/8cb863e6ef8911e8a8b47cd30ae00894
2018-10-18|内蒙古聚祥煤业集团有限公司与中国民生银行股份有限公司呼和浩特分行等合同纠纷一案执行实施类执行裁定书执行实施类执行裁定书|合同纠纷|申请人-中国民生银行股份有限公司呼和浩特分行被申请人-内蒙古伊东煤炭集团有限责任公司|（2018）内01执异13号|https://www.tianyancha.com/lawsuit/7f9d5da02bff44cf80abc1e4109079f9
2018-10-13|中国民生银行股份有限公司呼和浩特分行与内蒙古普泰房地产开发有限公司、内蒙古普泰路桥有限公司、内蒙古普泰建设集团有限公司、内蒙古伊东资源集团股份有限公司、内蒙古伊东煤炭集团有限责任公司、郝万清合同纠纷一案执行裁定书执行实施类执行裁定书|合同纠纷|申请执行人-中国民生银行股份有限公司呼和浩特分行被执行人-内蒙古普泰房地产开发有限公司,内蒙古普泰路桥有限公司,内蒙古普泰建设集团有限公司,内蒙古伊东资源集团股份有限公司,内蒙古伊东煤炭集团有限责任公司|（2016）内01执38号之一|https://www.tianyancha.com/lawsuit/5e87436fd75011e8a8b47cd30ae00894
2018-10-13|中国华融资产管理股份有限公司内蒙古自治区分公司申请执行内蒙古鸿远煤炭集团有限公司、内蒙古伊东煤炭集团有限责任公司、李玉、倪虎兰、李志强、艾彦彤、李志慧裁定书|-|申请执行人-中国华融资产管理股份有限公司内蒙古自治区分公司,中国建设银行股份有限公司准格尔分行被执行人-内蒙古鸿远煤炭集团有限公司,内蒙古伊东煤炭集团有限责任公司|（2016）内06执205号|https://www.tianyancha.com/lawsuit/dec2d91dd8fd11e8a8b47cd30ae00894
2018-10-01|中国进出口银行等合同执行裁定书|-|异议人-丰汇租赁有限公司,内蒙古伊东煤炭集团有限责任公司,内蒙古伊东资源集团股份有限公司|（2018）京02执异633号|https://www.tianyancha.com/lawsuit/0179e962d3a74139a6b25a0ef7527c8a
2018-09-29|张秋光、谢光辉建设工程施工合同纠纷再审审查与审判监督民事裁定书|建设工程施工合同纠纷|被申请人-浙江中秦能源有限公司,五矿（营口）产业园贸易有限公司,内蒙古伊东煤炭集团有限责任公司|（2018）最高法民申2019号|https://www.tianyancha.com/lawsuit/f9d07ee8d79911e8a8b47cd30ae00894
2018-06-28|准格尔旗农村信用合作联社与高利强、刘丽锋、张利博、边立衡、马慧金融借款合同纠纷执行裁定书|金融借款合同纠纷|被执行人-内蒙古伊东煤炭集团有限责任公司|（2016）内0622执2186号|https://www.tianyancha.com/lawsuit/b0999cf1f87311e8a8b47cd30ae00894
2018-05-14|内蒙古伊东煤炭集团有限责任公司、内蒙古伊东煤炭集团有限责任公司大庙渠煤矿买卖合同纠纷再审审查与审判监督民事裁定书|买卖合同纠纷|再审申请人-内蒙古伊东煤炭集团有限责任公司被申请人-浙江蓝丰能源有限公司,浙江普安能源有限公司,浙江中秦能源有限公司|（2015）浙民申字第2241号|https://www.tianyancha.com/lawsuit/49756470952d11e8a8b47cd30ae00894
2018-05-11|兴业银行股份有限公司呼和浩特分行与内蒙古伊东煤炭集团有限责任公司、内蒙古兴泰置业集团有限公司等金融借款合同纠纷一审民事判决书|金融借款合同纠纷|原告-兴业银行股份有限公司呼和浩特分行被告-内蒙古伊东煤炭集团有限责任公司,内蒙古兴泰置业集团有限公司|（2017）内01民初596号|https://www.tianyancha.com/lawsuit/424648ea952811e8a8b47cd30ae00894
