2019-01-16|内蒙古运昇镁业科技有限公司民间借贷纠纷一审民事裁定书|民间借贷纠纷|申请人-内蒙古运昇镁业科技有限公司被申请人-武川县四维冶炼有限责任公司|（2017）内0124财保19号|https://www.tianyancha.com/lawsuit/256bf8996ebc4b9482d7b135fab4a20e
2018-10-08|高峰与侯新文、内蒙古运昇镁业科技有限公司等机动车交通事故责任纠纷一审民事判决书|机动车交通事故责任纠纷|被告-内蒙古运昇镁业科技有限公司,中国人民财产保险股份有限公司呼和浩特市分公司|（2018）内0102民初2082号|https://www.tianyancha.com/lawsuit/d5c81abfebb911e8a8b47cd30ae00894
2018-05-28|内蒙古运昇镁业科技有限公司与武川县四维冶炼有限责任公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-内蒙古运昇镁业科技有限公司被告-武川县四维冶炼有限责任公司|（2017）内0124民初386号|https://www.tianyancha.com/lawsuit/b12253088a2f11e8a8b47cd30ae00894
2018-04-25|临汾鹏泰伟业有限公司与内蒙古运昇镁业科技有限公司租赁合同纠纷一审民事裁定书|租赁合同纠纷|原告-临汾鹏泰伟业有限公司被告-内蒙古运昇镁业科技有限公司|（2017）晋1023民初1354号|https://www.tianyancha.com/lawsuit/307658218a3211e8a8b47cd30ae00894
2018-03-31|临汾鹏泰伟业有限公司与内蒙古运昇镁业科技有限公司租赁合同纠纷管辖民事裁定书|租赁合同纠纷|上诉人-临汾鹏泰伟业有限公司被上诉人-内蒙古运昇镁业科技有限公司|（2018）晋10民辖终7号|https://www.tianyancha.com/lawsuit/9f9a68fc8a3111e8a8b47cd30ae00894
2018-01-29|榆林市永恒钢结构有限公司、高利东与贾增光、内蒙古运昇镁业科技有限公司等提供劳务者受害责任纠纷二审民事判决书|提供劳务者受害责任纠纷|上诉人-榆林市永恒钢结构有限公司被上诉人-内蒙古运昇镁业科技有限公司|（2017）内01民终2600号|https://www.tianyancha.com/lawsuit/04da5a566ad611e8a8b47cd30ae00894
2017-10-24|内蒙古运昇镁业科技有限公司与安阳市全清物资有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-内蒙古运昇镁业科技有限公司被告-安阳市全清物资有限公司|（2016）内0124民初564号|https://www.tianyancha.com/lawsuit/abbb3c51958211e8a8b47cd30ae00894
2017-10-24|贾增光与内蒙古运昇镁业科技有限公司、榆林市永恒钢结构有限公司等提供劳务者受害责任纠纷一审民事判决书|提供劳务者受害责任纠纷|被告-内蒙古运昇镁业科技有限公司,榆林市永恒钢结构有限公司|（2016）内0124民初570号|https://www.tianyancha.com/lawsuit/ae13246b958211e8a8b47cd30ae00894
2017-10-24|内蒙古运昇镁业科技有限公司与包头彤方冶炼有限责任公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-内蒙古运昇镁业科技有限公司被告-包头彤方冶炼有限责任公司|（2017）内0124民初51号|https://www.tianyancha.com/lawsuit/ae4fe2b6958211e8a8b47cd30ae00894
2017-10-24|内蒙古运昇镁业科技有限公司与清水河县天泰化工有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-内蒙古运昇镁业科技有限公司被告-清水河县天泰化工有限责任公司|（2016）内0124民初565号|https://www.tianyancha.com/lawsuit/ad9e6064958211e8a8b47cd30ae00894
2017-10-24|内蒙古运昇镁业科技有限公司与准格尔旗安达电化有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-内蒙古运昇镁业科技有限公司被告-准格尔旗安达电化有限责任公司|（2017）内0124民初52号|https://www.tianyancha.com/lawsuit/aac55e86958211e8a8b47cd30ae00894
2016-11-28|内蒙古运昇镁业科技有限公司申请执行锡林郭勒昌鑫化工有限公司买卖合同纠纷执行裁定书|买卖合同纠纷|申请人-内蒙古运昇镁业科技有限公司被执行人-锡林郭勒昌鑫化工有限公司|（2016）内0124执字第10-1号|https://www.tianyancha.com/lawsuit/ce25592842da4f26b908a6b1f9a97cd6
2016-09-08|内蒙古运昇镁业科技有限公司申请执行内蒙古商都硅鑫冶金化工有限责任公司买卖合同纠纷执行裁定书|买卖合同纠纷|申请执行人-内蒙古运昇镁业科技有限公司被执行人-内蒙古商都硅鑫冶金化工有限责任公司|（2016）内0124执6-2号|https://www.tianyancha.com/lawsuit/993b6b9a5deb41e391117ec4883b9aa8
2016-06-24|内蒙古运昇镁业科技有限公司申请执行商都县康鑫金属有限公司买卖合同纠纷执行裁定书|买卖合同纠纷|申请人-内蒙古运昇镁业科技有限公司|（2016）内0124执7号|https://www.tianyancha.com/lawsuit/31b61d80115a49049282b75ab2e6c2f4
2016-06-24|内蒙古运昇镁业科技有限公司申请执行锡林郭勒昌鑫化工有限公司买卖合同纠纷执行裁定书|买卖合同纠纷|申请人-内蒙古运昇镁业科技有限公司被执行人-锡林郭勒昌鑫化工有限公司|（2016）内0124执字第10号|https://www.tianyancha.com/lawsuit/54a65c9ff6ea414585d30fcca94b7a85
2016-06-24|内蒙古运昇镁业科技有限公司申请执行内蒙古容顺冶炼有限公司买卖合同纠纷执行裁定书|买卖合同纠纷|申请人-内蒙古运昇镁业科技有限公司被执行人-内蒙古荣顺冶炼有限公司|（2016）内0124执8-2号|https://www.tianyancha.com/lawsuit/7f228e1ce7794965a9bca33bc3bee77f
2016-06-22|内蒙古运昇镁业科技有限公司申请执行内蒙古容顺冶炼有限公司买卖合同纠纷执行裁定书|买卖合同纠纷|申请人-内蒙古运昇镁业科技有限公司被执行人-内蒙古荣顺冶炼有限公司|（2016）内0124执8-1号|https://www.tianyancha.com/lawsuit/8ce856d4f8b34232ad8602543bc45d64
2016-03-31|内蒙古运昇镁业科技有限公司、骆汝均申请公示催告民事判决书|申请公示催告|申请人-内蒙古运昇镁业科技有限公司|（2016）浙1081民催3号|https://www.tianyancha.com/lawsuit/16b09e86ce4a42958385822f73d29d4f
2015-11-18|内蒙古运昇镁业科技有限公司诉内蒙古商都硅鑫冶金化工有限责任公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-内蒙古运昇镁业科技有限公司被告-内蒙古商都硅鑫冶金化工有限责任公司|（2015）清法商初字第00003号|https://www.tianyancha.com/lawsuit/a86b9a24b5c64f4fbd809dbcdbefdadc
2015-11-18|内蒙古运昇镁业科技有限公司诉商都县康鑫金属有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-内蒙古运昇镁业科技有限公司|（2015）清法商初字第00002号|https://www.tianyancha.com/lawsuit/f49d3a67e7364780b8cc5a0459b9a38d
2015-11-10|内蒙古运昇镁业科技有限公司申请执行包头市广鑫稀土铁合金有限公司买卖合同纠纷执行裁定书|买卖合同纠纷|申请执行人-内蒙古运昇镁业科技有限公司被申请执行人-包头市广鑫稀土铁合金有限公司|（2015）清法执字第52-1号|https://www.tianyancha.com/lawsuit/dd739382f0d147efbe69bd8b4429c896
2015-10-09|内蒙古运昇镁业科技有限公司诉内蒙古荣顺冶炼有限公司一审民事判决书|-|原告-内蒙古运昇镁业科技有限公司被告-内蒙古荣顺冶炼有限公司|（2015）清法商初字第00006号|https://www.tianyancha.com/lawsuit/b57d1dab91ae4d4abdb3408c6515adb5
2014-12-23|内蒙古运昇镁业科技有限公司诉武川县鹏程化工有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-内蒙古运昇镁业科技有限公司被告-武川县鹏程化工有限公司|（2014）清法商字第205号|https://www.tianyancha.com/lawsuit/ed45bfcd1cb911e6b554008cfae40dc0
2014-07-04|张利军与内蒙古运昇镁业科技有限责任公司等提供劳务者受害责任纠纷一审民事判决书|提供劳务者受害责任纠纷|被告-内蒙古运昇镁业科技有限公司,包头市腾龙输送机械有限公司|（2014）包开民三初字第17号|https://www.tianyancha.com/lawsuit/1347aad91cba11e6b554008cfae40dc0
