地字第150623201623042号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1433.7㎡
地字第150623201623032号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|63.20㎡
鄂前国 许变更准 〔2016〕 2 号	|准予税务行政许可决定书|-|-|鄂托克前旗国家税务局|对增值税防伪税控系统最高开票限额的审批
地字第150623201623036|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1082.3㎡
地字第150623201623041号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|77.56㎡
地字第150623201623043号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1438.21㎡
建字第150623201723002号|建设工程规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|40.16㎡
地字第150623201623030|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|340.23㎡
鄂公审验字〔2017〕6号|验收合格通知书|-|-|鄂尔多斯市公安局|鄂托克前旗农村信用合作联社普惠金融事业部安全防范工程设施进行验收的申请
地字第150623201623030号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|340.23㎡
地字第150623201623039号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1829.05㎡
地字第150623201623033|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|372.10㎡
地字第150623201623037|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|34.4㎡
鄂公审验字〔2017〕59号|验收合格通知书|-|-|鄂尔多斯市公安局|鄂托克前旗农村信用合作联社北市场分社、陶伦市场分社和珠和信用社安全防范工程设施进行验收的申请
地字第150623201623041|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|77.56㎡
地字第150623201623038|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1012.7㎡
地字第150623201623043|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1438.21㎡
鄂公审验字〔2016〕32号|验收合格通知书|-|-|鄂尔多斯市公安局|金库安全防范工程设施进行验收
地字第150623201623035号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1038.02㎡
地字第150623201623040|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|559.13㎡
地字第150623201623032|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|63.20㎡
地字第150623201623036号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1082.3㎡
地字第150623201623042|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1433.7㎡
地字第150623201623035|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1038.02㎡
鄂前国 许准 〔2016〕 12 号|对增值税防伪税控系统最高开票限额的审批|-|-|鄂尔多斯市鄂托克前旗国家税务局|核准增值税专用发票防伪税控系统最高开票限额的审批为万元
地字第150623201623039|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1829.05㎡
地字第150623201623044|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1012.53㎡
地字第150623201623031号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|243.48㎡
鄂前国 许变更准 〔2016〕 2 号	|准予变更税务行政许可决定书|-|-|鄂托克前旗国家税务局|对增值税防伪税控系统最高开票限额的审批
20161101|建设工程竣工验收备案|-|-|鄂前旗住房和城乡规划建设局|鄂托克前旗农村信用合作联社营业服务中心工程
地字第150623201623031|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|243.48㎡
地字第150623201623034|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|82.77㎡
地字第150623201623033号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|372.10㎡
地字第150623201623040号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|559.13㎡
地字第150623201623034号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|82.77㎡
地字第150623201623044号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1012.53㎡
地字第150623201623037号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|34.4㎡
地字第150623201623038号|建设用地规划许可证|-|-|鄂托克前旗住房和城乡规划建设局|1012.7㎡
E0253S315060001|中华人民共和国金融许可证|-|-|中国银行业监督管理委员会鄂尔多斯监管分局|办理人民币存款、贷款、票据贴现、国内结算业务；办理个人储蓄业务；代理其他银行金融业务；代理收付款项及受托代办保险业务；买卖政府债券；代理发行、代理兑付、承销政府债券；提供保险箱业务；办理经中国银行业监督管理委员会批准的其他业务。
