152825201609140101|施工许可证|-|-|乌拉特中旗住房和城乡规划建设局|施工许可
在线审批平台生成备案告知书|政府主管部门批文|2017年10月12日|2019年10月12日|巴彦淖尔市临河区发展和改革局|"建设规模:园区总占地面积16.2万平方米，建筑面积6210平方米
建设内容:河套文化旅游产品创作园建筑面积6210平方米，其中包括书画摄影作品创作室2000平方米，民间工艺品创作室1800平方米，旅游商品创作室1210平方米，其他文化旅游产品创作室600平方米，展品库房、制作维护室等附属设施600平方米等，果树采摘园58亩，景观绿地159.5亩，观光道路142200米等"
(蒙)JZ安许证字[2005]000031-01|安全生产许可证|2014年06月27日|-|内蒙古自治区住房和城乡建设厅|建筑施工
A1014015080201|建筑业企业资质证书|2004年12月30日|-|中华人民共和国住房和城乡建设部|房屋建筑工程施工;市政公用工程施工;建筑幕墙工程施工;建筑装修装饰工程施工;起重设备安装工程安装与拆卸;消防设施工程施工;钢结构工程制作与安装;预拌商品混凝土生产;水利水电工程施工.
D215118113|建筑业企业资质证书|2016年06月10日|-|内蒙古自治区住房和城乡建设厅|建筑幕墙工程专业承包贰级；
建筑装修装饰工程专业承包贰级；
起重设备安装工程专业承包贰级；
消防设施工程专业承包贰级；
钢结构工程专业承包贰级。
D115063229|建筑业企业资质证书|2016年03月24日|-|中华人民共和国住房和城乡建设部|建筑工程施工总承包壹级；市政公用工程施工总承包壹级。
D315000941|建筑业企业资质证书|2016年04月28日|-|巴彦淖尔市住房和城乡建设委员会|水利水电工程施工总承包叁级
预拌混凝土专业承包不分等级
(蒙)JZ安许证字[2005]000031-01|安全生产许可证|2017年05月22日|-|内蒙古自治区住房和城乡建设厅|建筑施工
在线审批平台生成备案告知书|政府主管部门批文|2019年04月16日|-|巴彦淖尔市临河区发展和改革委|项目总建设用地面积14.95万平方米，本次项目总建筑面积4268平方米，包括新建1栋文化旅游产品展销及游客接待中心1000平方米，15栋文化旅游产品创作室3268平方米。
