金河生物科技股份有限公司关于控股股东部分股权解除质押的公告|-| 金河生物科技股份有限公司（以下简称"公司"）2019年5月13日收到控股股东内蒙古金河建筑安装有限责任公司（以下简称"金河建安"）的通知|-|东方财富网|-|2019年05月14日|-|https://news.tianyancha.com/detail/34a869f1606b95dc51b0d86663320e0b7e3a3047.html
金河生物控股股东金河建安质押2430万股去年营收同比增长12%|-|002688）发布公告，公司控股股东内蒙古金河建筑安装有限责任公司向中铁信托有限责任公司质押2430万股，用于融资。 公告显示，金河生物本次质押股数2430万股|-|云掌财经|-|2019年05月08日|-|https://news.tianyancha.com/detail/9896ee9a4e072cf6cee0bedb2f90322221c6fb83.html
金河生物科技股份有限公司关于控股股东部分股权质押的公告|-| 　　金河生物科技股份有限公司（以下简称“公司”）于近日收到控股股东内蒙古金河建筑安装有限责任公司（以下简称“金河建安”）的通知|-|证券日报-电子版|-|2019年05月08日|-|https://news.tianyancha.com/detail/c7b7efcc9132e28c2e47680dd8e60589cdca238a.html
金河生物科技股份有限公司2018年度股东大会决议的公告|-|，占出席股东大会（含网络投票）有效表决权股份数的0.0418%。 14、《关于2019年公司与内蒙古金河建筑安装有限责任公司预计关联交易的议案》 表决结果：同意3,906,950股|-|证券时报-电子版|-|2019年04月20日|-|https://news.tianyancha.com/detail/7910ee5a52133db8714f6e4b3e0c2c9e287c4dd4.html
金河生物科技股份有限公司关于控股股东股票质押延期购回及补充质押的公告|-| 金河生物科技股份有限公司（以下简称“公司”）于2019年4月18日收到控股股东内蒙古金河建筑安装有限责任公司（以下简称“金河建安”）的通知|-|证券时报-电子版|-|2019年04月19日|-|https://news.tianyancha.com/detail/8647c84dd60f7bd75be871a9bc5be0db0241613a.html
金河生物科技股份有限公司关于与内蒙古金河建筑安装有限责任公司2019年预计关联交易的公告|-|关于与内蒙古金河建筑安装有限责任公司2019年预计关联交易的公告 　　证券代码：002688 证券简称：金河生物 公告编号:【2019-014】 　　 　|-|证券日报-电子版|-|2019年03月29日|-|https://news.tianyancha.com/detail/c3731b6118436264a6401ba0a16e04aa6ef3e571.html
金河生物科技股份有限公司关于公司2019年度预计新增为子公司及孙公司提供融资担保的公告|-|是公司的控股子公司。呼和浩特市禹水宏管理咨询企业（有限合伙）持有金河环保公司19%的股权，内蒙古金河建筑安装有限责任公司持有金河环保公司10%的股权，田中宏|-|证券日报-电子版|-|2019年03月29日|-|https://news.tianyancha.com/detail/6e2b3d04171b93c55af80fa48a1ba8c306186e00.html
金河生物科技股份有限公司关于召开2018年度股东大会通知的公告|-| 　　13、审议《内部控制规则落实自查表》 　　14、审议《关于2019年公司与内蒙古金河建筑安装有限责任公司预计关联交易的议案》 　　15、审议|-|证券日报-电子版|-|2019年03月29日|-|https://news.tianyancha.com/detail/ce008802d0abeaf972b2f648cacc3aa5fdf95a29.html
金河生物科技股份有限公司第四届监事会第十二次会议决议公告|-| 　　十一、以2票同意，0票反对，0票弃权审议通过了《关于2019年公司与内蒙古金河建筑安装有限责任公司预计关联交易的议案》。 　　?表决结果：有效表决票数2票|-|证券日报-电子版|-|2019年03月29日|-|https://news.tianyancha.com/detail/4ad6c4e3f77f1a771d5e7248f39f6981ae145e22.html
金河生物科技股份有限公司2018年度报告摘要|-| 十五、以6票同意，0票反对，0票弃权审议通过了《关于2019年公司与内蒙古金河建筑安装有限责任公司预计关联交易的议案》。 表决结果：有效表决票数6票，其中同意6票|-|证券时报-电子版|-|2019年03月29日|-|https://news.tianyancha.com/detail/81e0d1551425d247fb77a94b34aee1944626bc0f.html
金河生物科技股份有限公司第四届董事会第二十三次会议决议公告|-| 　　十五、以6票同意，0票反对，0票弃权审议通过了《关于2019年公司与内蒙古金河建筑安装有限责任公司预计关联交易的议案》。 　　表决结果：有效表决票数6票，其中同意6票|-|证券日报-电子版|-|2019年03月29日|-|https://news.tianyancha.com/detail/b207f15575f477d508e7bfd96a0db31da0ae96f9.html
11月2日晚间增发股票债券一览|-|37,313,432 股。 （002688） 金河生物公司拟发行3600万股股份，其中公司控股股东内蒙古金河建筑安装有限责任公司认购1,000万股，呼和浩特昌福兴投资管理企业（有限合伙|-|财富动力网|-|2014年11月03日|-|https://news.tianyancha.com/detail/956f72766637b7dbaf369ac92ab5bf2a230f1b71.html
