C1500002011083210119785|采矿许可证|-|-|内蒙古自治区国土资源厅|采矿权延续申请
JY31504250011092|食品经营许可证|-|-|克旗市场监督管理局|预包装食品销售（不含冷藏冷冻食品）、热食类食品制售***
蒙环辐证[00382]|辐射安全许可证|-|-|自治区环保厅辐射处|延续
赤环审字[2017]19号|关于内蒙古维拉斯托矿业有限公司锡多金属矿39.6万t/a(1200t/d)采选项目环境影响报告书的批复|-|-|赤峰市环境保护局|内蒙古维拉斯托矿业有限公司锡多金属矿39.6万t/a(1200t/d)采选项目环境影响评价文件报批许可
T15520100802041758|勘查许可证|-|-|内蒙古自治区国土资源厅|盟市探矿权延续申请
T15120080702010989|勘查许可证|-|-|内蒙古自治区国土资源厅|盟市探矿权变更申请
[2018]07001号|环境影响评价审批|2018年07月16日|-|克什克腾旗环境保护局|环境影响评价审批
T15120080702010989|勘查许可证|2018年07月29日|2020年07月28日|内蒙古自治区国土资源厅|盟市探矿权变更申请2018
（蒙）FM安许可证字[2015]004374号|安全生产许可证|2015年12月31日|-|内蒙古自治区安全生产监督管理局|尾矿库运行
（蒙）FM安许可证字[2015]004373号】|安全生产许可证|2015年12月22日|-|内蒙古自治区安全生产监督管理局|铜矿、锌矿地下开采
C1500002011083210119785|采矿许可证|2017年10月31日|-|国土资源厅|采矿
T15120080702010989|矿产资源勘查许可证|2016年09月14日|-|内蒙古自治区国土资源厅|内蒙古克什克腾旗维拉斯托银多金属矿勘探
（蒙）FM安许可证字[2015]004372号】|安全生产许可证|2015年12月22日|-|内蒙古自治区安全生产监督管理局|铜矿、锌矿地下开采、尾矿库运行
T15520100802041758|矿产资源勘查许可证|2016年07月29日|-|内蒙古自治区国土资源厅|内蒙古赤峰市克什克腾旗巴彦乌拉铜多金属矿详查
