巴环验[2016]17号|巴彦淖尔市环境保护局关于内蒙古圣牧高科奶业有限公司日产50吨有机长效酸牛奶技术改造项目工程竣工环境保护验收意见

|-|-|巴彦淖尔市环境保护局|竣工环境保护验收通过
取水（巴水工）字【2016】第40003号|取水许可证|-|-|巴彦淖尔市水务局|许可取水量：100.5万立方米；取水工程 ：机电井；取水地点：磴口工业园区
磴经项字[2016]9号|内蒙古圣牧高科奶业有限公司新增日产450吨有机常温酸奶扩建项目备案意见|-|-|磴口县经济商务和信息化局|项目审批备案
SC10515082200055|食品生产许可证|-|-|巴彦淖尔市食品药品监督管理局|乳制品
JY21508220002469 |食品经营许可证|-|-|磴口县市场监督管理局 |预包装食品销售（含冷藏冷冻食品）、热食类食品制售*** 
152823201606080101|内蒙古圣牧高科奶业有限公司立体库及原、辅料库|-|-|磴口县住房和城乡规划建设局|内蒙古圣牧高科奶业有限公司立体库及原、辅料库工程施工许可
磴政字[2015]189号|8000吨库容液态奶立体仓库及辅料库项目|-|-|磴口县国土资源局|建设用地批准书
巴水（工业、生活）字【2012】40003号|取水许可证|-|-|巴彦淖尔市水务局|取水许可量：7万立方米，取水工程：机电井，取水地点：工业园区
磴环审表【2016】68号|内蒙古圣牧高科奶业有限公司新增日产450吨常温酸奶扩建项目|-|-|磴口县环保局|建设项目环评审批
磴环审表【2016】53号|内蒙古圣牧高科奶业有限公司5000t/d 污水处理改扩建项目|-|-|磴口县环保局|磴口县环保局
JY21508220002469|食品经营许可证|2016年09月28日|2021年09月27日|磴口县市场监督管理局|预包装食品销售（含冷藏冷冻食品）、热食类食品制售***
磴环验【2018】3号|环保主管部门批文|2018年10月10日|-|巴彦淖尔市磴口县环境保护局|建设项目固废、噪声污染防治设施竣工验收意见
磴环验【2018】4号|环保主管部门批文|2018年10月10日|-|巴彦淖尔市磴口县环境保护局|建设项目固废、噪声污染防治设施竣工验收意见
