2018-10-09|镶黄旗嘉联房地产开发有限公司与镶黄旗住房和城乡规划建设局行政协议二审行政裁定书|-|上诉人-镶黄旗嘉联房地产开发有限公司|（2018）内25行终18号|https://www.tianyancha.com/lawsuit/47263198d6ff11e8a8b47cd30ae00894
2017-12-28|镶黄旗嘉联房地产开发有限公司与镶黄旗住房和城乡规划建设局行政撤销一审行政裁定书|-|原告-镶黄旗嘉联房地产开发有限公司,镶黄旗嘉联花园小区物业管理有限公司被告-镶黄旗嘉联恒峰热力有限公司|（2017）内2528行初5号|https://www.tianyancha.com/lawsuit/2a2de94c340811e8bc346c92bf3bac55
2017-12-05|镶黄旗嘉联房地产开发有限公司与包胜利、镶黄旗嘉联花园小区物业管理有限公司等返还原物纠纷二审民事裁定书|返还原物纠纷|上诉人-镶黄旗嘉联房地产开发有限公司被上诉人-镶黄旗嘉联花园小区物业管理有限公司,镶黄旗嘉联恒峰热力有限公司|（2017）内25民终1398号|https://www.tianyancha.com/lawsuit/169fa4a8958311e8a8b47cd30ae00894
2017-08-04|镶黄旗嘉联房地产开发有限公司与包胜利、镶黄旗嘉联花园小区物业管理有限公司等返还原物纠纷一审民事判决书|返还原物纠纷|原告-镶黄旗嘉联房地产开发有限公司被告-镶黄旗嘉联花园小区物业管理有限公司,镶黄旗嘉联恒峰热力有限公司|（2017）内2528民初96号|https://www.tianyancha.com/lawsuit/083b2a6ea32211e788a5008cfaf8725a
2017-08-04|镶黄旗嘉联房地产开发有限公司与包胜利、镶黄旗嘉联花园小区物业管理有限公司等一审民事裁定书|-|申请人-镶黄旗嘉联房地产开发有限公司被申请人-镶黄旗嘉联花园小区物业管理有限公司,镶黄旗嘉联恒峰热力有限公司|（2017）内2528民初96号|https://www.tianyancha.com/lawsuit/2b9637fd3d9c11e8b0207cd30ae00c08
2016-03-30|杨志强与镶黄旗嘉联房地产开发有限公司房屋买卖合同纠纷一审民事判决书|房屋买卖合同纠纷|被告-镶黄旗嘉联房地产开发有限公司|（2015）镶民初字第186号|https://www.tianyancha.com/lawsuit/fbe448bf36f24060a7a252a321bde3e4
2015-09-18|乌仁其其格与镶黄旗嘉联房地产开发有限公司、翟磊房屋买合同纠纷一审民事判决书|合同纠纷|被告-镶黄旗嘉联房地产开发有限公司,房地产有限公司|（2015）镶民初字第261号|https://www.tianyancha.com/lawsuit/5c0ae1711cb611e6b554008cfae40dc0
2015-08-27|牛广英与袁龙、翟磊、镶黄旗嘉联房地产开发有限公司劳务合同纠纷一审民事判决书|劳务合同纠纷|被告-镶黄旗嘉联房地产开发有限公司|（2015）镶民初字第256号|https://www.tianyancha.com/lawsuit/436594bc1cbc11e6b554008cfae40dc0
2015-08-27|马占军与袁龙、翟磊、镶黄旗嘉联房地产开发有限公司劳务合同纠纷一审民事判决书|劳务合同纠纷|被告-镶黄旗嘉联房地产开发有限公司|（2015）镶民初字第258号|https://www.tianyancha.com/lawsuit/43667cf01cbc11e6b554008cfae40dc0
2015-08-27|牛广全与袁龙、翟磊、镶黄旗嘉联房地产开发有限公司劳务合同纠纷一审民事判决书|劳务合同纠纷|被告-镶黄旗嘉联房地产开发有限公司|（2015）镶民初字第257号|https://www.tianyancha.com/lawsuit/436695f91cbc11e6b554008cfae40dc0
2015-07-13|申宴星、张斌成、刘汉兵、闫伟杰、张淑清、张建军与镶黄旗嘉联房地产开发有限公司、龚沛枝、陈瑞东劳务合同纠纷一审民事判决书|劳务合同纠纷|被告-镶黄旗嘉联房地产开发有限公司|（2015）镶民初字第188号|https://www.tianyancha.com/lawsuit/97bed54d940f4ee29a76bea9e0061784
2015-05-13|杨柏林与镶黄旗嘉联房地产开发有限公司、翟磊房屋买卖合同纠纷一审民事裁定书|房屋买卖合同纠纷|被告-镶黄旗嘉联房地产开发有限公司|（2015）镶民初字第223号|https://www.tianyancha.com/lawsuit/af27e6f61cb611e6b554008cfae40dc0
2015-03-31|原告龚沛福诉被告镶黄旗嘉联房地产开发有限公司、翟磊民间借贷纠纷一案一审民事判决书|民间借贷纠纷|被告-镶黄旗嘉联房地产开发有限公司|（2015）镶民初字第77号|https://www.tianyancha.com/lawsuit/a78ad1871cba11e6b554008cfae40dc0
