石发改审批字[2015]49号|包头市石拐广源投资有限公司建设石拐区平安城市建设工程项目备案确认书|-|-|石拐区发展改革统计局|安装监控前端设备（摄像头）及其配套使用的摄像机配套设备和机房设备。... 更多
石发改审批字[2016]34号|关于包头市石拐广源投资有限公司建设草原生态环境监测大数据可视分析平台项目备案确认书|-|-|石拐区发展改革统计局|建立产业生态体系模型和大数据应用系统以及配置相应的云平台作为支撑。... 更多
石发改审批字[2016]5号|关于包头市石拐广源投资有限公司建设城市精准管理与一站式公共服务大数据综合平台项目备案确认书|-|-|石拐区发展改革统计局|整合市内各部门、各区县分散的数据中心，以及包头市超级云计算中心、一机万佳工业云中心等社会资源，构建统一的政务数据中心体系；建立城市运行立体化智能管控平台，整合平安城市、道路交通、小区监控等实时视频。动态采集全域人口、城市部件、地下管网、水、电、气、暖等设施实时信息，搭建数字城市三维全息数据库，实时获取各类重点区域、危险区域、人群聚集区域的分布态势，为城市精准管理和公共安全预警预测提供决策支撑... 更多
包发改审批字〔2016〕180号|关于包头市石拐区喜桂图新区热力管网 工程项目核准的批复|-|-|包头市发展和改革委员会| 该项目供热管网从华能包头第三热电厂已建成的DN1000主干线接入石拐喜桂图新区隔压站，敷设管网总长度31.1KM；新建热力站36座，改建热力站3座；新建调度业务用房，建筑面积1500平方米。... 更多
石发改审批字[2016]13号|关于包头市石拐广源投资有限公司建设石拐区大数据创新产业园项目备案确认书|-|-|石拐区发展改革统计局|对总面积10.5万平方米的大数据创新产业园功能用房进行改造，研发大数据交易中心平台等相关信息系统；... 更多
石发改审批字[2016]16号|关于包头市石拐广源投资有限公司建设石拐区“智慧城市”三期项目备案确认书|-|-|石拐区发展改革统计局|建设数字城管、平安城市、智慧养老、智慧医疗、智慧社区、智慧交通、智慧旅游、智慧管网等。... 更多
石发改审批字[2016]36号|关于包头市石拐广源投资有限公司建设创业创新公共服务大数据共享开放平台项目备案确认书|-|-|石拐区发展改革统计局|建设城市公共服务大数据共享开放平台、研发中心、创客空间以及大数据交易中心平台。... 更多
石发改审批字[2016]4号|关于包头市石拐广源投资有限公司建设内蒙古特色产业资源交易和精准扶贫脱贫综合服务平台项目备案确认书|-|-|石拐区发展改革统计局|建立大宗畜产业和中蒙药材在线交易和物流配送服务平台，实现内蒙古牛羊肉、羊绒产品、中蒙药材等特色农产品生产种植、仓储物流、全程溯源、质量管理、标准认证、在线交易、金融支付等全流程服务。整合扶贫办、农委、水利、公安、民政、社保等部门信息，以及农牧产品市场供需信息，建立内蒙古“十个全覆盖”基础信息平台和精准扶贫脱贫综合服务平台，精准掌握基层贫困情况，为贫困人口提供订单化种养殖、农副产品安全追溯、农牧民电商代理、网上结算等服务。... 更多
石发改审批字[2016]6号|关于包头市石拐广源投资有限公司建设高端制造业协同制造、产业加速数据分析服务平台暨表面工程节能减排大数据中心项目
备案确认书|-|-|石拐区发展改革统计局|发挥自治区高载能工业园区50万KW的过剩能耗，建立绿色云计算中心，为大数据产业提供基础支撑；实施节能减排、协同制造、智能物流、生产管理、订单管理等全链条先进制造业大数据整合工程，重点提升内燃发动机、工业机床运行效率，动态减磨增寿，整体提升效能40%，降低维修费用48%，降低用于延长机械寿命的费用20%，降低启停损耗费用10%。... 更多
石发改审批字[2016]21号|关于包头市石拐广源投资有限公司建设石拐区宽带乡村基础网络完善工程备案确认书|-|-|石拐区发展改革统计局|建设覆盖石拐全区的光纤高速公路及无线网络。... 更多
石发改审批字[2016]33号|关于包头市石拐广源投资有限公司建设中国中药材产业链大数据综合服务平台项目备案确认书|-|-|石拐区发展改革统计局|建设中药材产业精准扶贫大数据中心以及中药材产业链大数据综合服务平台等。... 更多
石发改审批字[2016]35号|关于包头市石拐广源投资有限公司建设CFL安全认证大数据示范应用工程项目备案确认书|-|-|石拐区发展改革统计局|建设CFL技术大数据安全认证中心以及建立CFL大数据安全认证分中心。... 更多
