-|-|2013年09月11日|2018年09月10日|北京市药品监督管理局海淀分局|Ⅲ、Ⅱ类：医用电子仪器设备（6821-1、6821-3除外）；医用光学器具（6822-1除外）、仪器及内窥镜设备；医用超声仪器及有关设备；医用磁共振设备；医用X射线设备；医用高能射线设备；医用核素设备；临床检验分析仪器；Ⅱ类：软件***
-|-|2014年02月27日|2017年01月17日|中华人民共和国工业和信息化部|经营增值电信业务
京公（海）消验字〔2018〕第0630号|大唐电信北京科研中心员工餐厅装修改造工程|2018-09-04|-|市公安局|验收科
2004规（海）地字0005号|建设工程用地许可证|2004-02-19|-|北京市规划委员会|建设工程用地许可证
京国土规预[2012]0097号|建设项目用地预审意见|2012-05-31|-|北京市国土资源局|建设项目用地预审
京 地出（合）字（2013）第0124号|北京市国有建设用地使用权出让合同|2013-04-07|-|北京市国土资源局|国有建设用地使用权协议出让
0411008A06791|高新技术企业认定证书|2004-11-15|-|北京市科学技术委员会|高新技术企业认定
0211008A5473|高新技术企业认定证书|2002-10-21|-|北京市科学技术委员会|高新技术企业认定
0711008A24122|软件企业认定证书|2007-04-18|-|北京市科学技术委员会|软件企业认定审批
0020031|出版、复制境外出版物著作权登记|2015-01-21|-|北京市新闻出版广电局|名称：Mentor EDA 软件Mentor EDA Software；合同登记号：电复字:01-2015-0002(J)号
0020032|出版、复制境外出版物著作权登记|2015-01-21|-|北京市新闻出版广电局|名称：01A（a）ADDA018 Royalty & 01B ADDA018Core Royalty；合同登记号：电复字:01-2015-0003(J)号
0020030|出版、复制境外出版物著作权登记|2015-01-21|-|北京市新闻出版广电局|名称：SYNOPSYS EDA工具；合同登记号：电复字:01-2015-0001(J)号
0020067|出版、复制境外出版物著作权登记|2015-04-21|-|北京市新闻出版广电局|名称：SYNOPSYS EDA工具；合同登记号：电复字:01-2015-0013(J)号
30101101082017050057|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050060|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050065|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050061|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050058|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050067|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050059|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050066|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050068|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050063|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050064|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050062|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
30101101082017050069|特种设备使用登记|2017-05-1500:00:00|-|北京市质量技术监督局|注册登记
J1000023894405|开户许可|2017年1月2日|-|中国人民银行营业管理部|开立
