150784201600031|建筑工程规划许可证|-|-|额尔古纳市规划局|建设工程规划
(额水)申字【2014】第007号|取水许可证|-|-|额尔古纳市水利局|生活用水
额国用(2014)第0001995号|国有土地使用证|-|-|额尔古纳市国土资源局|国有建设用地使用权
（2016）183号|呼伦贝尔绿宝实业有限公司3#库房锅炉房建设项目环境影响报告表的批复|-|-|额尔古纳市环境保护局|呼伦贝尔绿宝实业有限公司3#库房锅炉房建设项目环境影响报告表
额国用(2014)第0001993号|国有土地使用证|-|-|额尔古纳市国土资源局|国有建设用地使用权
（2016）182号|呼伦贝尔绿宝实业有限公司2#库房锅炉房建设项目环境影响报告表的批复|-|-|额尔古纳市环境保护局|呼伦贝尔绿宝实业有限公司2#库房锅炉房建设项目环境影响报告表
150784201606010101|建设工程施工许可证|-|-|额尔古纳市住房和城乡建设局|建设工程施工
（2016）039号|呼伦贝尔绿宝实业有限公司仓库项目环境影响报告表的批复|-|-|额尔古纳市环境保护局|呼伦贝尔绿宝实业有限公司仓库项目环境影响报告表
150784201600075|建设用地规划许可证|-|-|额尔古纳市规划局|建设用地规划
150784201600030|建设工程规划许可证|-|-|额尔古纳市规划局|建设工程规划
150784201600029|建设工程规划许可证|-|-|额尔古纳市规划局|建设工程规划
150784201600073|建设用地规划许可证|-|-|额尔古纳市规划局|建设用地规划
150784201600074|建设用地规划许可证|-|-|额尔古纳市规划局|建设用地规划
-|增值税专用发票（增值税税控系统）最高开票限额审批|2017年09月13日|-|内蒙古自治区额尔古纳市国家税务局|增值税专用发票（增值税税控系统）最高开票限额审批
