2019-03-29|牙克石市大兴安岭乾森农业（集团）有限责任公司与安景全、秦皇岛市卢龙县福利综合加工厂买卖合同纠纷二审民事裁定书|买卖合同纠纷|上诉人-牙克石市大兴安岭乾森农业（集团）有限责任公司被上诉人-秦皇岛市卢龙县福利综合加工厂|（2019）内07民终9号|https://www.tianyancha.com/lawsuit/53fe86c78d3f43f6a5e704b5d544cc25
2019-01-14|牙克石市大兴安岭乾森农业（集团）有限责任公司与安景全、秦皇岛市卢龙县福利综合加工厂买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-牙克石市大兴安岭乾森农业（集团）有限责任公司被告-秦皇岛市卢龙县福利综合加工厂|（2017）内0782民初715号|https://www.tianyancha.com/lawsuit/43c4b9bb5e59413f9dbcd8ea42320e8c
2018-12-06|牙克石市原群兴农牧场、免渡河镇经军农场等与牙克石市大兴安岭乾森农业（集团）有限责任公司农业承包合同纠纷二审民事判决书|农业承包合同纠纷|上诉人-牙克石市原群兴农牧场,免渡河镇经军农场,牙克石市东辉农场,免渡河镇仁义农场,库都尔镇兴发农牧场,库都尔镇孙加勇农场,乌尔其汉镇兴农农牧场,乌尔其汉镇泰禾农场,牙克石市乌尔旗汉鹏翔农场,牙克石市煤田益禾农牧场,牙克石市煤田诚信大丰收农牧场,牙克石市牧原镇新兴管委会兴盛农牧场,牙克石市乾盛农牧场,牙克石市秦祥和农牧场,牙克石市源义农牧场,牙克石市顺康农牧场,牙克石市金新合农场,牙克石市乌奴耳鑫保丰农牧场,牙克石市乌奴耳桑成胜农场,牙克石市乌奴耳硕丰农场被上诉人-牙克石市大兴安岭乾森农业（集团）有限责任公司|（2018）内07民终902号|https://www.tianyancha.com/lawsuit/c09866c3f94311e8a8b47cd30ae00894
2018-12-06|牙克石市大兴安岭乾森农业（集团）有限责任公司与刘建华买卖合同纠纷再审审查与审判监督民事裁定书|买卖合同纠纷|再审申请人-牙克石市大兴安岭乾森农业（集团）有限责任公司|（2018）内07民申91号|https://www.tianyancha.com/lawsuit/7b482640026211e9a8b47cd30ae00894
2018-11-03|刘庆与王义江土地承包经营权纠纷二审民事判决书|土地承包经营权纠纷|-|（2018）内07民终1202号|https://www.tianyancha.com/lawsuit/d9f1eb3bdef011e8a8b47cd30ae00894
2018-11-03|刘庆与王义江侵权责任纠纷一审民事判决书|侵权责任纠纷|-|（2017）内0782民初1527号|https://www.tianyancha.com/lawsuit/f8ae7ee9e9ab11e8a8b47cd30ae00894
2018-10-30|牙克石市林海欣阁装饰服务中心与牙克石市大兴安岭乾森农业（集团）有限责任公司建设工程施工合同纠纷执行裁定书|建设工程施工合同纠纷|申请执行人-牙克石市林海欣阁装饰服务中心被执行人-牙克石市大兴安岭乾森农业（集团）有限责任公司|（2018）内0782执184号之一|https://www.tianyancha.com/lawsuit/2c5ee5d0dbe911e8a8b47cd30ae00894
2018-09-03|崔喜和与刘斌、牙克石市大兴安岭乾森农业（集团）有限责任公司侵权责任纠纷二审民事裁定书|侵权责任纠纷|被上诉人-牙克石市大兴安岭乾森农业（集团）有限责任公司|（2018）内07民终937号|https://www.tianyancha.com/lawsuit/90467b35d7aa11e8a8b47cd30ae00894
2018-07-02|牙克石市林强苗圃与牙克石市大兴安岭乾森农业（集团）有限责任公司承揽合同纠纷一审民事裁定书|承揽合同纠纷|原告-牙克石市林强苗圃被告-牙克石市大兴安岭乾森农业（集团）有限责任公司|（2018）内0782民初59号|https://www.tianyancha.com/lawsuit/b6a2822b9dc011e8a8b47cd30ae00894
2018-05-30|安景全与牙克石市大兴安岭乾森农业（集团）有限责任公司、张会顺买卖合同纠纷管辖民事裁定书|买卖合同纠纷|被上诉人-牙克石市大兴安岭乾森农业（集团）有限责任公司|（2017）内07民辖终68号|https://www.tianyancha.com/lawsuit/acec58f7952811e8a8b47cd30ae00894
