红山区航安货运站|徐海峰||||内蒙古自治区赤峰市红山区桥北镇物流园区|50000万|2009-07-02|吊销|||||个体户|2009-07-02至2011-12-31|道路运输业||2009-07-02|||||||内蒙古自治区赤峰市红山区桥北镇物流园区附近公司|配载、信息服务。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
红山经济开发区隆为尔招待所|曹玉香|13848277885|1138841961@qq.com||内蒙古自治区赤峰市红山区桥北镇物流园区||2009-07-09|注销|||||个体工商户||住宿业||2018-11-23|||||红山区隆为尔招待所||内蒙古自治区赤峰市红山区桥北镇物流园区附近公司|旅客住宿（不得提供互联网上网服务）（卫生许可证有效期至2011年6月8日）；主食、热菜肴加工销售、酒水销售（食品卫生许可证有效期至2013年6月12日）|
赤峰市红山区康机汽车修理部|任秀英||||内蒙古自治区赤峰市红山区桥北大街路西旧货市场对过|0.3万人民币|2005-11-04|吊销|||||个体户|2005-11-04至2011-12-31|机动车、电子产品和日用产品修理业||2005-11-04|||||||内蒙古自治区赤峰市红山区桥北大街路西旧货市场对过附近公司|许可经营项目：汽车小修、油品更换一般经营项目：汽车配件销售 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰市多创房地产开发有限公司|张金堂||||红山区红庙子中心街|2000万人民币|2011-07-25|注销|||||有限责任公司(自然人投资或控股)|2011-07-25至2061-07-25|房地产业||2013-12-25|||||||红山区红庙子中心街附近公司|房地产开发、五金、建材销售。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰远联钢管有限公司|时金钰||||内蒙古自治区赤峰市红山区东城办事处红旗路居委会|460万|2012-09-21|注销|||||有限责任公司(自然人投资或控股)(1130)|2012-09-21至2042-09-20|黑色金属冶炼和压延加工业||2015-08-05|||||||内蒙古自治区赤峰市红山区东城办事处红旗路居委会附近公司|许可经营项目：无 一般经营项目：高精度焊管加工、销售|赤峰远联钢管有限公司成立于2012年09月21日，主要经营范围为许可经营项目：无一般经营项目：高精度焊管加工、销售等。
赤峰美通锅炉设备有限公司|商雅琳||||赤峰市红山区东城办事处二毛居委会34幢303号|300万|2014-04-17|注销|||||有限责任公司(自然人独资)(1151)|2014-04-17至无固定期限|批发业||2015-10-22|||||||赤峰市红山区东城办事处二毛居委会34幢303号附近公司|许可经营项目：无 一般经营项目：锅炉及设备销售|赤峰美通锅炉设备有限公司成立于2014年04月17日，主要经营范围为许可经营项目：无一般经营项目：锅炉及设备销售等。
赤峰恒亿新能源开发有限公司|崔振龙|8210512|||赤峰市红山经济开发区管委会|50万|2013-08-15|注销||911504020755677066|075567706|911504020755677066|其他有限责任公司(1190)|2013-08-15至2043-08-14|电力、热力生产和供应业||2017-06-21|50万||||||赤峰市红山经济开发区管委会附近公司|许可经营项目：无 一般经营项目：新能源技术研发；新能源发电系统规划、设计、研究、开发、技术咨询与服务；合同能源管理；新能源发电项目投资、管理；光伏发电系统相关产品、设备销售|
赤峰嘉骏投资管理有限责任公司|王肇强||||赤峰市红山区东城办事处东城大街路南、红山广场东侧阳光丽景小区经济适用房4-1-01017|1000万|2014-04-18|吊销|||||有限责任公司(自然人独资)(1151)|2014-04-18至无固定期限|商务服务业||2014-04-18|||||||赤峰市红山区东城办事处东城大街路南、红山广场东侧阳光丽景小区经济适用房4-1-01017附近公司|许可经营项目：无 一般经营项目：投资管理、商务咨询、理财信息咨询|赤峰嘉骏投资管理有限责任公司成立于2014年04月18日，主要经营范围为许可经营项目：无一般经营项目：投资管理、商务咨询、理财信息咨询等。
赤峰中元商贸有限公司|武汉丽|13848463666|405050390@qq.com||内蒙古自治区赤峰市红山物流园区恩志物流中转站2号|100万|2012-04-24|注销|||||有限责任公司(自然人投资或控股)(1130)|2012-04-24至2032-04-23|批发业||2017-03-08|100万||||||内蒙古自治区赤峰市红山物流园区恩志物流中转站2号附近公司|许可经营项目：无 一般经营项目：矿产品、冶炼废渣、化工产品（不含危险化学品及一类易制毒化学品）、农副产品（不含许可项目）、建筑材料、金属材料、机械设备、矿山设备及配件、电脑及配件、日用百货销售；自营和代理各类商品和技术的进口，但国家限定公司经营或禁止进口的商品和技术除外|
赤峰市红山区亚轮轮胎经销处|董风雷||||内蒙古自治区赤峰市红山区桥北镇物流园区8-4号||2006-01-03|注销|||||个体工商户||零售业||2018-11-26|||||||内蒙古自治区赤峰市红山区桥北镇物流园区8-4号附近公司|轮胎销售|
赤峰天行健粮油商贸有限责任公司|刘琨|8285376|||内蒙古自治区赤峰市红山物流园区7号楼01031（粮油市场内）|300万|2012-02-14|注销|||||其他有限责任公司(1190)|2012-02-14至无固定期限|批发业||2016-05-05|300万||||||内蒙古自治区赤峰市红山物流园区7号楼01031（粮油市场内）附近公司|许可经营项目：预包装食品、散装食品（不含自身加工生产的食品）批发兼零售（食品流通许可证有效期至2014年12月27日）。 一般经营项目：市场管理服务；农地膜、化肥、农副产品（不含许可项目）销售|
赤峰瑞达物流有限责任公司|周涛||||内蒙古自治区赤峰市红山物流园区９Ａ幢|30万|2010-12-06|吊销|||||有限责任公司（非自然人投资或控股的法人独资）(1153)|2010-12-06至2030-12-05|道路运输业||2011-03-23|||||||内蒙古自治区赤峰市红山物流园区９Ａ幢附近公司|普通货运、仓储、保管、配载、装卸、理货（道路运输经营许可证有效期至２０１４年１２月２日）|
赤峰市红山区馨盛雅服饰行|周宏||||内蒙古自治区赤峰市红山区植物园北十字路口南||2008-04-16|吊销|||||个体户||零售业||2008-04-16|||||||内蒙古自治区赤峰市红山区植物园北十字路口南附近公司|服装加工销售。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰大辽文化产权交易所有限公司|于忠孝||||内蒙古自治区赤峰市红山物流园区管委会办公楼三楼东侧第二间|200万人民币|2011-11-09|注销|||||有限责任公司(法人独资,私营)|2011-11-09至2061-11-08|批发业||2013-01-17|||||||内蒙古自治区赤峰市红山物流园区管委会办公楼三楼东侧第二间附近公司|文化企业股权、著作权、版权、文化艺术品所有权、收益权及分拆权益、债权交易服务；在法律、法规、政策允许范围内组织珠宝玉石、字画、紫砂、瓷器、古玩文化艺术品交易。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
内蒙古首领羊绒科技有限公司|焦建军|13684762605|13684762605@126.com||赤峰市红山区红山经济开发区1幢（昭乌达羊绒制品院内）|2000万|2014-05-30|注销|||||有限责任公司(自然人投资或控股)(1130)|2014-05-30至无固定期限|批发业||2016-03-25|||||||赤峰市红山区红山经济开发区1幢（昭乌达羊绒制品院内）附近公司|许可经营项目：无 一般经营项目：羊绒新技术研发、推广、应用；投资管理；产品展览、展示；羊绒制品、针纺织品、农畜产品销售|
赤峰创响数字科技传媒有限责任公司|王舒皓|13704760259|||内蒙古自治区赤峰市新城区玉龙大街巴林石大厦8020室|100万|2012-07-12|注销|||||有限责任公司(自然人独资)(1151)|2012-07-12至2042-07-11|商务服务业||2016-07-13|10万||||赤峰龙森商贸有限责任公司||内蒙古自治区赤峰市新城区玉龙大街巴林石大厦8020室附近公司|许可经营项目：无 一般经营项目：城市园林绿化、技术开发、技术咨询、技术服务、技术转让、技术推广；承办展览展示活动、经济贸易咨询、影视策划、电脑动画设计、组织文化艺术交流活动；广告设计、制作、代理、发布、推广；计算机技术服务、产品设计、模型设计、包装装潢设计、企业策划、工艺美术设计、教育咨询、礼仪服务、会议服务、翻译服务、文化咨询、电脑打字录入、校对、电脑喷绘、晒图服务、标志牌设计、奖杯奖牌锦旗设计；家用电器、电子产品、通讯设备、服装、百货销售|
赤峰大龙大宗商品交易所有限公司|马景林||||内蒙古自治区赤峰市红山物流园区管委会办公楼三楼东侧第三间|200万人民币|2011-11-09|注销|||||有限责任公司(法人独资,私营)|2011-11-09至2061-11-08|批发业||2013-01-17|||||||内蒙古自治区赤峰市红山物流园区管委会办公楼三楼东侧第三间附近公司|农畜产品（不含许可项目）、矿产品、化工产品（不含危险化学品及一类易制毒化学品）大宗商品现货批发、零售交易及咨询服务。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰尊岳汽车销售服务有限公司|车志坚|0476-3995008|||赤峰市红山区桥北镇姚家洼居委会红山物流园区1号楼01011（坤驰汽车公司院内）|200万|2014-01-03|注销|||||有限责任公司(自然人独资)(1151)|2014-01-03至无固定期限|零售业||2015-12-29|200万||||||赤峰市红山区桥北镇姚家洼居委会红山物流园区1号楼01011（坤驰汽车公司院内）附近公司|许可经营项目：无 一般经营项目：汽车（不含品牌汽车）、汽车配件、汽车装饰用品、百货销售|
内蒙古升泽龙钨钼制品有限公司|王福升||||内蒙古自治区赤峰市红山经济开发区维信路东|3000万|2010-09-06|吊销|||||有限责任公司(自然人投资或控股)(1130)|2010-09-06至2010-12-06|有色金属冶炼和压延加工业||2010-09-06|||||||内蒙古自治区赤峰市红山经济开发区维信路东附近公司|钼系列产品销售|
赤峰和昇汽车贸易有限责任公司|夏常龙|18604766679|||赤峰市红山区桥北镇姚家洼居委会红山物流园区公交枢纽站1号楼03013|50万|2014-01-23|注销|||||有限责任公司(自然人投资或控股)(1130)|2014-01-23至2044-01-22|零售业||2015-10-14|50万||||||赤峰市红山区桥北镇姚家洼居委会红山物流园区公交枢纽站1号楼03013附近公司|许可经营项目：无 一般经营项目：汽车（不含品牌汽车）、工程机械、农机及配件销售；五金机电、建材销售；二手车交易|
红山区军诚家电经营部|赵金花||||内蒙古自治区赤峰市万商大院|600000万|2010-03-05|吊销|||||个体户|2010-03-05至2011-12-31|零售业||2012-02-27|||||||内蒙古自治区赤峰市万商大院附近公司|许可经营项目：一般经营项目：家用电器销售、废旧家电回收 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
红山区玉翔电玩城|李玉全||||内蒙古自治区赤峰市红山区长青街妇幼保健所对过||2012-02-20|吊销|||||个体工商户||娱乐业||2012-02-20|||||||内蒙古自治区赤峰市红山区长青街妇幼保健所对过附近公司|许可经营项目：电子游艺服务（有效期截止2015年12月14日）。 一般经营项目：无|
内蒙古金泽能源建设集团有限公司|周计亮|0476-8205285|||内蒙古自治区赤峰市红山区哈达街东段路北（四中对过）|10000万|1992-04-06|存续||911504027830127607|783012760|911504027830127607|有限责任公司（非自然人投资或控股的法人独资）(1153)|1992-04-06至2025-12-27|商务服务业||2018-10-26|10000万|100-499人|128||赤峰金泽电力投资有限责任公司|Chifeng Jinze Power Investment Co.,Ltd.|内蒙古自治区赤峰市红山区哈达街东段路北（四中对过）附近公司|许可经营项目：无 一般经营项目：电力工程施工；电力销售；电力输变电设施实验、检修、维护；电力信息工程服务；电力技术开发、咨询、服务；新能源技术开发、咨询、服务；镀锌金属构件、变压器、高低压电器设备销售；五金工具、建材、电线、电缆销售；房屋、场地租赁；电力技术研发、实验；汽车租赁；水泥制品生产、销售；物业管理；餐饮服务。|
内蒙古泰领医疗控股有限公司|连新盛|0476-8233000|||内蒙古自治区赤峰市红山区经济开发区1号|1000万|2016-06-22|存续||91150402MA0MY6LD98|MA0MY6LD9|91150402MA0MY6LD98|其他有限责任公司(1190)|2016-06-22至无固定期限|商务服务业||2017-08-21|160万||||||内蒙古自治区赤峰市红山区经济开发区1号附近公司|许可经营项目：无 一般经营项目：对医疗项目投资服务；生物技术推广服务；生物医药技术研发、生产、销售；蒙中医药技术研发、生产、销售|
