QS1504 1101 0171|食品生产许可证|-|-|赤峰市市场监督管理委员会|速冻食品[速冻其他食品(速冻肉制品、速冻其他类制品)]
0429130782|污染物排放许可证|-|-|宁城县环境保护局|COD、氨氮、SO2、氮氧化物
1500/03118|出口食品企业备案证明|-|-|内蒙古出入境检验检疫局|冷冻冷鲜牛肉
0429130658|污染物排放许可证|-|-|宁城县环境保护局|COD、氨氮、SO2、NOX
A150404002|畜禽定点屠宰证|-|-|赤峰市农牧业局|牛定点屠宰
1500/03118|出口食品生产企业备案|-|-|内蒙古出入境检验检疫局|准予该企业申报出口所备案食品
150429502160013|动物防疫条件合格证|-|-|宁城县农牧业局|肉牛屠宰加工、羊肉分割加工、销售
-|内蒙古自治区企业投资项目备案确认书|2017年03月01日|2019年03月01日|宁城县发展和改革局|拟对对原有锅炉烟气除尘脱硫系统进行改造，更新原有水浴除尘系统为布袋除尘系统，新建封闭式煤棚1处，对烟囱、炉壁等老化部分进行更换和维修，购置布袋除尘器、脱硫系统等相应设备21台（套）。项目总投资：109.74万元，资金来源全部为企业自筹。
SC11115042900343|食品生产许可(速冻食品)|2017年03月14日|2022年03月13日|赤峰市食品药品监督管理局|生制品[牛肉块、牛肉片、牛肉丝、牛肉串、牛肉条、牛肉饼、牛肉糜、肥牛、牛排、羊肉片、羊肉丝、羊肉串、羊排];熟制品[牛肉块、牛肉片、牛肉丝、牛肉条、肥牛、牛肉饼、牛肉末、牛肚、牛肠、牛杂、牛筋];速冻肉制品
A150404002|畜禽定点屠宰证|2017年03月15日|2022年03月15日|赤峰市农牧业局|牛定点屠宰
9115042970142704XL001V|排污许可证|2018年12月14日|2021年12月13日|赤峰市环境保护局|详见排污许可证副本。大气总排放许可量（1-3年）：颗粒物 / t/a , SO2  / t/a , NOx / t/a ,VOCs / t/a 。水污染物排放量（1-3年）：CODcr  15 t/a，氨氮 8.755000 t/a。
