150525201600118|建设工程规划许可|-|-|奈曼旗住房和城乡建设局|办公用房
奈发改字〔2015〕47号|关于奈曼旗福星嘉苑棚户区改造项目可行性研究报告的批复|-|-|内蒙古通辽市奈曼旗发展和改革局|总建筑面积为60300平方米,其中住宅面积51255平方米,商业面积7839平方米,配套公建面积1206平方米。
150525201600013|建设用地规划许可|-|-|奈曼旗住房和城乡建设局|办公用房
奈发改字〔2015〕46号|关于奈曼旗福城御都棚户区改造项目可行性研究报告的批复|-|-|内蒙古通辽市奈曼旗发展和改革局|总建筑面积为95000平方米,其中住宅面积80750平方米，商业面积12350平方米，配套公建面积1900平方米。
奈发改字〔2016〕330号
|关于奈曼旗水榭花城等六片区2016年城市棚户区改造建设项目可行性研究报告的批复
|-|-|内蒙古自治区奈曼旗发展和改革局|项目共拆迁325户，建筑面积65000平方米。其中水榭花城片区拆迁78户,建筑面积15600平方米；华庭福兴片区拆迁33户, 建筑面积6600平方米；八仙福地片区拆迁31户，建筑面积6200平方米；福星嘉苑片区二期拆迁54户，建筑面积10800平方米；华庭商业街片区拆迁51户，建筑面积10200平方米；明珠花园片区拆迁78户，建筑面积15600平方米。
奈发改字〔2015〕52号|关于奈曼旗永兴嘉苑棚户区改造项目可行性研究报告的批复|-|-|内蒙古通辽市奈曼旗发展和改革局|总建筑面积为65200.5平方米,其中住宅面积55420.4平方米，商业面积8476.1平方米，配套公建面积1304平方米。
150525201600030|建设工程规划许可|-|-|奈曼旗住房和城乡建设局|足球中和训练馆
150525201603300101|建筑工程施工许可|-|-|奈曼旗住房和城乡建设局|奈曼旗足球综合训练馆
150525201600113|建设工程规划许可|-|-|奈曼旗住房和城乡建设局|办公用房
150525201600115|建设工程规划许可|-|-|奈曼旗住房和城乡建设局|办公用房
150525201600016|建设用地规划许可|-|-|奈曼旗住房和城乡建设局|办公用房
150525201600006|建设用地规划许可|-|-|奈曼旗住房和城乡建设局|办公用房
150525201600008|建设用地规划许可|-|-|奈曼旗住房和城乡建设局|办公用房
（奈）雷审许字（2016）第12号|防雷装置设计核准意见书|-|-|内蒙古自治区奈曼旗气象局|足球综合训练场
150525201600010|建设用地规划许可|-|-|奈曼旗住房和城乡建设局|办公用房
150525201600114|建设工程规划许可|-|-|奈曼旗住房和城乡建设局|办公用房
150525201600009|建设用地规划许可|-|-|奈曼旗住房和城乡建设局|办公用房
奈发改字〔2016〕20号|关于奈曼旗大美夕阳医养服务中心建设项目节能评估报告书的批复|-|-|内蒙古自治区奈曼旗发展和改革局|你单位委托华春建设工程项目管理有限责任公司编制的《奈曼旗大美夕阳医养服务中心建设项目节能评估报告书》等有关材料收悉。项目规划占地300亩，建设内容包括新建养老公寓楼、孤儿抚养中心、康复活动中心等工程，配套建设食堂、超市等场所，完善道路、绿化等公用辅助设施。按照国家发展改革委《固定资产投资项目节能评估和审查暂行办法》（2010年第6号令）要求，我局组织相关技术人员对节能评估报告表中所述项目的能源消耗种类、能源消耗指标和节能效果等进行了审查，批复如下：
一、项目选址奈曼旗大沁他拉镇，总投资33724.26万元。项目主要消耗能源品种为电力、一次水、天然气和热力，其中年用电量327.06万千瓦时，天然气65.49万立方米，用水14.21万立方米，供暖总热力59514.23吉焦。项目综合能耗当量值为3264.52吨标准煤/年，等价值为4183.88吨标准煤/年。项目综合能耗对全旗能源消费的影响不大，项目建设符合国家产业政策及相关法律、法规和标准，同意项目按报告书中所列节能技术及管理措施实施
奈发改字〔2015〕48号|关于奈曼旗富民北区棚户区改造项目可行性研究报告的批复|-|-|内蒙古通辽市奈曼旗发展和改革局|总建筑面积为281520平方米,其中住宅面积239292平方米,商业面积36597.6平方米,配套公建面积5630.4平方米。
