人防行政审批[2015-24]号|防空地下室建设项目审批表|-|-|赤峰市人民防空办公室|防空地下室建设项目行政许可
2016年第11号|国家税务总局关于税务行政许可若干问题的公告|-|-|赤峰市松山区国家税务局|对增值税防伪税控系统最高开票限额的审批
内农种许准字［2016］第56号|行政许可决定书|-|-|自治区农牧业厅|农作物种子生产经营许可证
1504040020160080—1504040020160091|植物检疫证书|-|-|松山区植保植检站|玉米种子等田间检疫
蒙0510055.0|粮食收购许可证|-|-|赤峰市松山区商务局|粮食收购资格认定
1504040020150001—1504040020150011|植物检疫证书|-|-|松山区植保植检站|玉米、高粱、谷子种子田间检疫
-|国（境）外引进种子、苗木检疫审批|2017年02月14日|-|内蒙古自治区植保植检站|法国引进向日葵种子
-|国（境）外引进种子、苗木检疫审批|2017年02月16日|-|内蒙古自治区植保植检站|美国引进向日葵种子
-|国（境）外引进种子、苗木检疫审批|2017年04月01日|2017年10月01日|内蒙古自治区植保植检站|智利引进向日葵种子
-|国（境）外引进种子、苗木检疫审批|2017年04月10日|2017年10月10日|内蒙古自治区植保植检站|葡萄牙引进向日葵种子
-|国（境）外引进种子、苗木检疫审批|2017年04月17日|2017年10月17日|内蒙古自治区植保植检站|美国引进高粱种子
-|国（境）外引进种子、苗木检疫审批|2017年07月14日|2018年01月13日|内蒙古自治区植保植检站|法国引进甜菜种子
1503052018007007|国（境）外引进种子、苗木检疫审批|2018年01月17日|2018年07月16日|内蒙古自治区植保植检站|法国引进向日葵种子
1503012018007005|国（境）外引进种子、苗木检疫审批|2018年01月17日|-|内蒙古自治区植保植检站|比利时引进甜菜种子
1503042018007023|国（境）外引进种子、苗木检疫审批|2018年01月17日|-|内蒙古自治区植保植检站|德国引进甜菜种子
1503072018007009|国（境）外引进种子、苗木检疫审批|2018年01月17日|2018年07月16日|内蒙古自治区植保植检站|意大利引进甜菜种子
1503042018007063|国（境）外引进种子、苗木检疫审批|2018年01月31日|2018年07月30日|内蒙古自治区植保植检站|德国引进甜菜种子
1503052018007071|国（境）外引进种子、苗木检疫审批|2018年01月31日|-|内蒙古自治区植保植检站|法国引进甜菜种子
1504082018007119|国（境）外引进种子、苗木检疫审批|2018年05月04日|2018年11月03日|内蒙古自治区植保植检站|多民族玻利维亚国引进向日葵种子
1503072018007169|国（境）外引进种子、苗木检疫审批|2018年05月04日|2018年11月03日|内蒙古自治区植保植检站|意大利引进甜菜种子
-|内农牧种植发[2018]128号（蒙审玉2018032号）|2018年05月09日|-|自治区农牧业厅（内蒙古自治区农作物品种审定委员会）|通过品种审定
1504122019007001|国（境）外引进种子、苗木检疫审批|2019年01月28日|2019年07月27日|内蒙古自治区农牧业厅|智利引进向日葵
1503112019007001|国（境）外引进种子、苗木检疫审批|2019年01月28日|2019年07月27日|内蒙古自治区农牧业厅|葡萄牙引进向日葵
1503052019007003|国（境）外引进种子、苗木检疫审批|2019年01月28日|2019年07月27日|内蒙古自治区农牧业厅|法国引进向日葵
1501372019007001|国（境）外引进种子、苗木检疫审批|2019年01月28日|2019年07月27日|内蒙古自治区农牧业厅|土耳其引进向日葵
1503052019007007|国（境）外引进种子、苗木检疫审批|2019年01月29日|2019年07月28日|内蒙古自治区农牧业厅|法国引进甜菜
1503072019007007|国（境）外引进种子、苗木检疫审批|2019年01月29日|2019年07月28日|内蒙古自治区农牧业厅|意大利引进甜菜
1504122019007005|国（境）外引进种子、苗木检疫审批|2019年04月01日|2019年09月30日|内蒙古自治区农牧业厅|智利引进玉米
