2019-04-24|呼勇等民事执行裁定书|民事执行|申请执行人-上海睿卉资产管理有限公司被执行人-鄂尔多斯市乌审旗勇泰酒店有限公司,乌审旗国有资产投资经营有限责任公司|（2019）京03执恢68号|https://www.tianyancha.com/lawsuit/03e35f9734ea417caf9f9e707c426976
2019-04-08|乌审旗国有资产投资经营有限责任公司与榆林市昌泰建筑工程有限责任公司、刘俊飞一审民事裁定书|-|原告-乌审旗国有资产投资经营有限责任公司被告-榆林市昌泰建筑工程有限责任公司,榆阳区信用联社|（2018）内0626民初2670号|https://www.tianyancha.com/lawsuit/6f85a7709b3047cbaf69809f40e3de37
2019-01-01|乌审旗国有资产投资经营有限责任公司申请执行鄂尔多斯市宝成商贸有限责任公司借款合同执行裁定书|-|申请执行人-乌审旗国有资产投资经营有限责任公司被执行人-鄂尔多斯市宝成商贸有限责任公司|（2018）内0626执941号|https://www.tianyancha.com/lawsuit/0f6cc3ce0e0e11e9a8b47cd30ae00894
2019-01-01|乌审旗国有资产投资经营有限责任公司申请执行鄂尔多斯市勇泰热电集团有限责任公司、乌审旗勇泰房地产开发有限责任公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-乌审旗国有资产投资经营有限责任公司被执行人-鄂尔多斯市勇泰热电集团有限责任公司,乌审旗勇泰房地产开发有限责任公司|（2018）内0626执恢549号|https://www.tianyancha.com/lawsuit/2b54d17f137a11e9a8b47cd30ae00894
2019-01-01|乌审旗国有资产投资经营有限责任公司申请执行鄂尔多斯市勇泰热电集团有限责任公司、乌审旗勇泰房地产开发有限责任公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-乌审旗国有资产投资经营有限责任公司被执行人-乌审旗勇泰房地产开发有限责任公司,鄂尔多斯市勇泰热电集团|（2018）内0626执恢547号|https://www.tianyancha.com/lawsuit/fe7fee29558f447d88a46ca4ece8b56e
2019-01-01|乌审旗国有资产投资经营有限责任公司申请执行鄂尔多斯市勇泰热电集团有限责任公司、乌审旗勇泰房地产开发有限责任公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-乌审旗国有资产投资经营有限责任公司被执行人-乌审旗勇泰房地产开发有限责任公司|（2018）内0626执恢548号|https://www.tianyancha.com/lawsuit/f6e3433313c211e9a8b47cd30ae00894
2018-12-27|乌审旗国有资产投资经营有限责任公司申请执行内蒙古景建美园林有限公司借款合同纠纷一案结案通知书|借款合同纠纷|申请执行人-乌审旗国有资产投资经营有限责任公司被执行人-内蒙古景建美园林有限公司|（2018）内0626执1302号|https://www.tianyancha.com/lawsuit/07c9ead7bf2e42b0b944f69bb81e5e04
2018-12-13|乌审旗农村信用合作联社与被执行人乌审旗察罕苏力德生态旅游有限责任公司、乌审旗国有资产投资经营有限责任公司、斯迪巴雅尔、娜仁高娃金融借款纠纷一案结案通知书|-|被执行人-乌审旗国有资产投资经营有限责任公司|（2018）内0626执恢530号|https://www.tianyancha.com/lawsuit/87d7feaf087543588fccc264ca9a7db2
2018-12-13|乌审旗国有资产投资经营有限责任公司申请鄂尔多斯市天华商贸有限责任公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请人-乌审旗国有资产投资经营有限责任公司被执行人-鄂尔多斯市天华商贸有限责任公司|（2017）内0626执1805号|https://www.tianyancha.com/lawsuit/09d64dba89aa4e79a8699e45e99b51a6
2018-11-09|高军与孟克、斯庆图雅民间借贷纠纷一审民事判决书|民间借贷纠纷|被告-乌审旗国有资产投资经营有限责任公司|（2018）内0626民初1716号|https://www.tianyancha.com/lawsuit/f18af04be2c64990ba8defaa58b29f0f
2017-12-12|乌审旗国有资产投资经营有限责任公司申请执行鄂尔多斯市勇泰热电集团有限责任公司借款合同一案执行裁定书|-|申请执行人-乌审旗国有资产投资经营有限责任公司,乌审旗勇泰房地产开发有限责任公司被执行人-鄂尔多斯市勇泰热电集团有限责任公司|（2017）内0626执54号|https://www.tianyancha.com/lawsuit/a68da7b711a111e881ec008cfaf870e0
