0020|统计登记证|-|-|统计局|统计登记证
太水政字〔2012〕第01号|取水许可证|-|-|太仆寺旗水利局|工业取水（自备）
SC11515252700086|食品生产许可|-|-|锡林郭勒盟食品药品监督和工商行政管理局|酒类
太环审字
[2015]56号|内蒙古自治区锡林郭勒盟太仆寺旗草原酿酒有限责任公司新厂区污水处理站技改项目|-|-|太仆寺旗
环境保护局|环境影响评价
报告表审批
152527116300769|税务登记证|2006年10月22日|-|锡林郭勒盟太旗工商局|草原系列白酒
152527000000232|营业执照|-|-|太仆寺旗工商行政管理局|酿造白酒、纯净水、牛鞭酒
QS1525 1501 1193|全国工业产品生产许可证|2013年05月14日|-|内蒙古自治区质量技术监督局|白酒
151107500002|酒类流通备案登记证|2010年01月01日|-|太仆寺旗商务局|白酒、牛鞭酒
152527116300769|税务登记证|2006年11月20日|-|太仆寺旗工商行政管理局|酿造白酒、牛鞭酒、纯净水
11630076－9|中华人民共和国组织机构代码证|2011年06月16日|-|中华人民共和国国家质量监督检验检疫总局|酿酒
