今日多家企业调价，未来市场将会出现“硬缺口”！|-|。 1824元/吨， 下6元/吨 。 内蒙古通辽开鲁玉王玉米折标价格执行1920元/吨。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|6天前|-|https://news.tianyancha.com/detail/478fffeec356b16b2887ef976b1286d702a6a3bd.html
【玉米报价】5月31日玉米价格汇总！每日更新|-|14%水单价1940元/吨. 内蒙古通辽开鲁玉王玉米折标价格执行1920元/吨。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|10天前|-|https://news.tianyancha.com/detail/8f4b4db8b2dc685aab0453456b03e548a2d08b3c.html
【玉米报价】5月30日玉米价格汇总！每日更新|-|14%水单价1940元/吨. 内蒙古通辽开鲁玉王玉米折标价格执行1920元/吨。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|11天前|-|https://news.tianyancha.com/detail/386c25d1eda255936faee9aba9c8e469a7d94925.html
5月29日玉米拍卖成交均价1880元/吨（今日玉米价格）|-|14%水单价1940元/吨. 内蒙古通辽开鲁玉王玉米折标价格执行1920元/吨。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/ae86ba04bc75e7acc038feb973b53097246812ab.html
【玉米】玉米继续上涨，南北玉米价格倒挂！|-|内蒙古通辽开鲁玉王玉米折标价格执行1910元/吨， 下 20元/吨* 。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|13天前|-|https://news.tianyancha.com/detail/785cf134ff574de8a1e5f995567bba9cc49d16cf.html
玉米继续上涨，南北玉米价格倒挂！|-|内蒙古通辽开鲁玉王玉米折标价格执行1910元/吨， 下 20元/吨* 。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/b0733ab3c66f32c28c33ca30d29778fe848eff40.html
【玉米】玉米稳赚不亏，贸易商待价而沽！|-| 上20元/吨. 内蒙古通辽开鲁玉王玉米折标价格执行1930元/吨。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|14天前|-|https://news.tianyancha.com/detail/dece65f7999278472110bc3d49c68f92173071b7.html
深加工大喊“涨价”，山东最高挂牌价2130元/吨！影响上秋玉米价格因素抢先看|-|1950元／吨） 内蒙古通辽开鲁玉王玉米折标价格执行1930元/吨。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|2019年05月27日|-|https://news.tianyancha.com/detail/834a77b79934e2da885174b1e7ceb52462c8ea58.html
贸易商捂粮不卖，深加工大喊“涨价”（今日山东最高挂牌价2130元/吨）|-|1950元／吨） 内蒙古通辽开鲁玉王玉米折标价格执行1930元/吨。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|2019年05月26日|-|https://news.tianyancha.com/detail/1a8e8be56fcda8b2d9e3cb084d10a0a24a2150db.html
贸易商捂粮不卖，深加工大喊“涨价”（今日山东最高挂牌价2130元/吨）|-|1950元／吨） 内蒙古通辽开鲁玉王玉米折标价格执行1930元/吨。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|2019年05月26日|-|https://news.tianyancha.com/detail/5ec6c3b60729a6bb2f35ad48c6bd889ec8918bca.html
【玉米】最新玉米价格！临储玉米成交火爆，有粮的乐了！|-| 今日玉米价格： 内蒙古通辽开鲁玉王玉米折标价格执行1930元/吨。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|2019年05月25日|-|https://news.tianyancha.com/detail/b3d8eb5b0e265df61a42727ff092666f4a585c2e.html
非洲猪瘟疫苗获得重大进展，今日玉米价格突飞猛进，河北2000，山东2120！|-|1950元／吨） 内蒙古通辽开鲁玉王玉米折标价格执行1930元/吨。 内蒙古呼伦贝尔东北阜丰生物科技有限公司玉米折标收购价格为1740元/吨。|-|微信公众号|-|2019年05月25日|-|https://news.tianyancha.com/detail/8dd5c006b829950a64767b875064b241262412c5.html
