2019-02-14|阿克苏皓天机械制造有限责任公司与亿利生态科技有限责任公司合同纠纷一审民事裁定书|合同纠纷|原告-阿克苏皓天机械制造有限责任公司被告-亿利生态科技有限责任公司|（2018）内0621民初4699号|https://www.tianyancha.com/lawsuit/039e54de657046ff93fca174bbfe7f93
2018-12-28|亿利新材料有限责任公司与潍坊中云科研有限公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-亿利新材料有限责任公司被告-潍坊中云科研有限公司|（2017）鲁0791民初1572号|https://www.tianyancha.com/lawsuit/538744690b8c11e9a8b47cd30ae00894
2018-12-28|潍坊中云科研有限公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|申请人-亿利新材料有限责任公司被申请人-潍坊中云科研有限公司|（2017）鲁0791民初1572号之一|https://www.tianyancha.com/lawsuit/4a60b95d0b7511e9a8b47cd30ae00894
2018-12-01|赵志恺与亿利新材料有限责任公司劳动合同纠纷二审民事裁定书|劳动合同纠纷|被上诉人-亿利新材料有限责任公司|（2018）内06民终120号|https://www.tianyancha.com/lawsuit/95e57afdf57f11e8a8b47cd30ae00894
2018-11-26|亿利新材料有限责任公司劳动争议一审民事判决书|劳动争议|被告-亿利新材料有限责任公司|（2017）内0621民初3939号|https://www.tianyancha.com/lawsuit/32592b9df18411e8a8b47cd30ae00894
2018-11-06|赵志恺与亿利新材料有限责任公司劳动合同纠纷再审审查与审判监督民事裁定书|劳动合同纠纷|被申请人-亿利新材料有限责任公司|（2018）内民申1203号|https://www.tianyancha.com/lawsuit/4a9e0b7c0b7511e9a8b47cd30ae00894
2018-10-31|亿利生态科技有限责任公司与西安百瑞新型建材有限公司买卖合同纠纷一案的一审执行裁定书|买卖合同纠纷|申请执行人-亿利生态科技有限责任公司被执行人-西安百瑞新型建材有限公司|（2018）陕0112执3843-1号|https://www.tianyancha.com/lawsuit/69023b27df4511e8a8b47cd30ae00894
2018-09-21|亿利生态科技有限责任公司与黄骅市欣意达塑料模具厂买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-亿利生态科技有限责任公司被告-黄骅市欣意达塑料模具厂|（2018）内0621民初3758号|https://www.tianyancha.com/lawsuit/053ead79d31711e8a8b47cd30ae00894
2018-04-25|亿利新材料有限责任公司与潍坊中云科研有限公司非诉财产保全审查案件裁定书|-|申请人-亿利新材料有限责任公司被申请人-潍坊中云科研有限公司|（2017）内0602财保267号|https://www.tianyancha.com/lawsuit/51ea86a48a3211e8a8b47cd30ae00894
2017-12-20|亿利新材料有限责任公司与内蒙古亚通塑胶有限公司买卖合同纠纷一案终结本次执行程序裁定书|买卖合同纠纷|申请执行人-亿利新材料有限责任公司被执行人-内蒙古亚通塑胶有限公司|（2017）内0627执1067号|https://www.tianyancha.com/lawsuit/0f7abab30a4711e881ec008cfaf870e0
2017-12-20|亿利新材料有限责任公司与内蒙古世龙股份有限公司买卖合同纠纷一案终结本次执行程序裁定书|买卖合同纠纷|申请执行人-亿利新材料有限责任公司被执行人-内蒙古世龙股份有限公司|（2017）内0627执345号|https://www.tianyancha.com/lawsuit/0f82708c0a4711e881ec008cfaf870e0
2017-10-27|亿利新材料有限责任公司与张乾文买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-亿利新材料有限责任公司|（2016）内0621民初6072号|https://www.tianyancha.com/lawsuit/ef9552d1406011e8b0207cd30ae00c08
2016-09-29|亿利新材料有限责任公司诉内蒙古世龙股份有限公司买卖合同纠纷一案一审民事判决书|买卖合同纠纷|原告-亿利新材料有限责任公司被告-内蒙古世龙股份有限公司|（2016）内0627民初3898号|https://www.tianyancha.com/lawsuit/6063f790bf614386a8cb93f9d904c06c
2016-09-29|亿利新材料有限责任公司与内蒙古世龙股份有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-亿利新材料有限责任公司被告-内蒙古世龙股份有限公司|（2016）内0627民初3898号|https://www.tianyancha.com/lawsuit/407463e9374842d3a6197e28d3eac2c6
2016-07-26|亿利新材料有限责任公司诉乌拉特前旗乌拉山综合修造厂买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-亿利新材料有限责任公司被告-乌拉特前旗乌拉山东风综合修造厂|（2016）内0621民初2486号|https://www.tianyancha.com/lawsuit/ce1b38dd2cfd418f911b205c49fb85ba
2016-05-12|原告山东飞洋热工设备有限公司诉被告亿利新材料有限责任公司买卖合同纠纷一审民事裁定书|买卖合同纠纷|原告-山东飞洋热工设备有限公司被告-亿利新材料有限责任公司|（2016）内0621民初1353号|https://www.tianyancha.com/lawsuit/9c5ad87469b648d1bb7c7891e7cd5619
2015-08-31|内蒙古亿利塑业有限责任公司与山东东宏管业股份有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-内蒙古亿利塑业有限责任公司被告-山东东宏管业股份有限公司|（2015）达商初字第44号|https://www.tianyancha.com/lawsuit/9e169dfb201748abbf2b8e9a85b368af
