2019-03-19|五寨县万通实业有限责任公司与内蒙古绿缘能源开发有限公司与公司有关的纠纷一审民事判决书|与公司有关的纠纷|原告-五寨县万通实业有限责任公司被告-内蒙古绿缘能源开发有限公司|（2016）晋民初52号|https://www.tianyancha.com/lawsuit/857c618f845e43a3b493d26f29836352
2019-03-14|五寨县万通实业有限责任公司、内蒙古绿缘能源开发有限公司合同纠纷二审民事裁定书|合同纠纷|上诉人-五寨县万通实业有限责任公司被上诉人-内蒙古绿缘能源开发有限公司,山西国泰环保能源发展集团有限公司|（2018）最高法民终537号|https://www.tianyancha.com/lawsuit/f86f97101f054eafb38b586e0bbec855
2018-12-28|王新旗执行异议执行裁定书|-|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2018）内09执异12号|https://www.tianyancha.com/lawsuit/1ff7943e0b5d11e9a8b47cd30ae00894
2018-11-30|山西国泰环保能源发展集团有限公司申请执行人中国工商银行股份有限公司乌兰察布集宁支行、被执行人内蒙古绿缘能源开发有限公司、刘生、张文芝、仝重峰、赵文娟执行异议执行裁定书|-|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2018）内09执异5号|https://www.tianyancha.com/lawsuit/102781f88c79407e99ebb5ab602584ae
2018-07-14|张文芝合同纠纷再审审查与审判监督民事裁定书|合同纠纷|被申请人-中国工商银行股份有限公司乌兰察布集宁支行,内蒙古绿缘能源开发有限公司,中国煤炭销售运输有限责任公司|（2018）最高法民申730号|https://www.tianyancha.com/lawsuit/1bbfe17a927411e8a8b47cd30ae00894
2018-05-23|五寨县万通实业有限责任公司、山西国泰环保能源发展集团有限公司合同纠纷二审民事裁定书|合同纠纷|上诉人-五寨县万通实业有限责任公司被上诉人-山西国泰环保能源发展集团有限公司,内蒙古绿缘能源开发有限公司|（2018）最高法民辖终68号|https://www.tianyancha.com/lawsuit/cc9274d4952d11e8a8b47cd30ae00894
2017-12-23|中国工商银行股份有限公司乌兰察布集宁支行与内蒙古绿缘能源开发有限公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2017）内09执56号之十一|https://www.tianyancha.com/lawsuit/75f0966d0cb511e881ec008cfaf870e0
2017-12-23|中国工商银行股份有限公司乌兰察布集宁支行与内蒙古绿缘能源开发有限公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2017）内09执56号之十|https://www.tianyancha.com/lawsuit/75f785b40cb511e881ec008cfaf870e0
2017-12-23|中国工商银行股份有限公司乌兰察布集宁支行与内蒙古绿缘能源开发有限公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2017）内09执56号之八|https://www.tianyancha.com/lawsuit/7605dc040cb511e881ec008cfaf870e0
2017-12-23|中国工商银行股份有限公司乌兰察布集宁支行与内蒙古绿缘能源开发有限公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2017）内09执56号之七|https://www.tianyancha.com/lawsuit/760cbd560cb511e881ec008cfaf870e0
2017-12-23|中国工商银行股份有限公司乌兰察布集宁支行与内蒙古绿缘能源开发有限公司借款合同纠纷一案执行裁定书|借款合同纠纷|申请执行人-中国工商银行股份有限公司乌兰察布集宁支行被执行人-内蒙古绿缘能源开发有限公司|（2017）内09执56号之五|https://www.tianyancha.com/lawsuit/761567800cb511e881ec008cfaf870e0
