2018-12-28|交通银行股份有限公司包头分行与准格尔旗柏树坡煤炭有限责任公司保证合同纠纷一审民事判决书|保证合同纠纷|原告-交通银行股份有限公司包头分行被告-准格尔旗柏树坡煤炭有限责任公司|（2018）内02民初227号|https://www.tianyancha.com/lawsuit/1be680c40b5d11e9a8b47cd30ae00894
2018-10-22|申���执行人北京大唐燃料有限公司与被执行人伊金霍洛旗新庙三界沟煤矿、准格尔旗赵二成渠煤炭有限责任公司、内蒙古津粤能源集团有限责任公司裁定书|-|申请执行人-北京大唐燃料有限公司被执行人-准格尔旗赵二成渠煤炭有限责任公司,内蒙古津粤能源集团有限责任公司,准格尔旗柏树坡煤炭有限责任公司,包头市津粤煤炭有限公司,包头市华诺能源有限公司,土默特右旗鑫鑫煤炭有限责任公司|（2014）鄂执行字第299-4号|https://www.tianyancha.com/lawsuit/5bfb075aea9911e8a8b47cd30ae00894
2018-09-29|上海申行健压缩机有限公司与准格尔旗柏树坡煤炭有限责任公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-上海申行健压缩机有限公司被告-准格尔旗柏树坡煤炭有限责任公司|（2015）闸民二（商）初字第1155号|https://www.tianyancha.com/lawsuit/5865d9e6da10407baf40e3903453b994
2018-09-21|上海申行健压缩机有限公司与准格尔旗柏树坡煤炭有限责任公司其他执行裁定书|-|申请执行人-上海申行健压缩机有限公司被执行人-准格尔旗柏树坡煤炭有限责任公司|（2017）沪0106执7841号|https://www.tianyancha.com/lawsuit/29c1b3a4d6ab11e8a8b47cd30ae00894
2018-08-02|土默特右旗鑫鑫煤炭有限责任公司等其他合同纠纷执行裁定书|合同纠纷|申请人-中国民生银行股份有限公司总行营业部被执行人-土默特右旗鑫鑫煤炭有限责任公司,准格尔旗赵二成渠煤炭有限责任公司,准格尔旗柏树坡煤炭有限责任公司|（2016）京04执75号|https://www.tianyancha.com/lawsuit/95940f5bbd6e11e8a8b47cd30ae00894
2017-01-03|中国民生银行股份有限公司总行营业部与包头市津粤煤炭有限公司等执行裁定书|-|申请执行人-中国民生银行股份有限公司北京分行被执行人-包头市津粤煤炭有限公司,北京大唐燃料有限公司,内蒙古津粤能源集团有限责任公司,准格尔旗柏树坡煤炭有限责任公司,准格尔旗赵二成渠煤炭有限责任公司|（2016）京04执77号|https://www.tianyancha.com/lawsuit/07a4cf6d0f91460185267544d2162055
2016-11-30|中国建设银行股份有限公司准格尔分行与郭兰女、李有兵等金融借款合同纠纷一审民事判决书|金融借款合同纠纷|原告-中国建设银行股份有限公司准格尔分行被告-准格尔旗柏树坡煤炭有限责任公司,准格尔旗哈岱高勒煤管站,内蒙古伊泰煤制油有限责任公司|（2016）内0622民初3673号|https://www.tianyancha.com/lawsuit/fab65f987a794f6c8104bfd4b422cf8b
2016-11-28|中国民生银行股份有限公司总行营业部与包头市津粤煤炭有限公司等执行裁定书|-|申请执行人-中国民生银行股份有限公司北京分行被执行人-包头市津粤煤炭有限公司,北京大唐燃料有限公司,内蒙古津粤能源集团有限责任公司,准格尔旗柏树坡煤炭有限责任公司,准格尔旗赵二成渠煤炭有限责任公司|（2016）京04执77号之二|https://www.tianyancha.com/lawsuit/8f642803c9b94e61b9726929e10eb37a
2016-05-10|申请执行人内蒙古圣凯达律师事务所与被执行人包头市津粤煤炭有限公司、内蒙古津粤能源集团有限责任公司、土默特右旗鑫鑫煤炭有限责任公司、伊金霍洛旗新庙三界沟煤矿、准格尔旗赵二成渠煤炭有限责任公司、准格尔旗柏树坡煤炭有限责任公司法律服务合同纠纷一案执行裁定书|法律服务合同纠纷|被执行人-包头市津粤煤炭有限公司,内蒙古津粤能源集团有限责任公司,土默特右旗鑫鑫煤炭有限责任公司,准格尔旗赵二成渠煤炭有限责任公司,准格尔旗柏树坡煤炭有限责任公司|（2015）昆执字第2203-1号|https://www.tianyancha.com/lawsuit/9d44831925e945d599e5c19aaa122bd4
2016-03-30|申请执行人内蒙古圣凯达律师事务所与被执行人包头市津粤煤炭有限公司、内蒙古津粤能源集团有限责任公司、土默特右旗鑫鑫煤炭有限责任公司、伊金霍洛旗新庙三界沟煤矿、准格尔旗赵二成渠煤炭有限责任公司、准格尔旗柏树坡煤炭有限责任公司法律服务合同纠纷一案执行裁定书|法律服务合同纠纷|被执行人-包头市津粤煤炭有限公司,内蒙古津粤能源集团有限责任公司,土默特右旗鑫鑫煤炭有限责任公司,准格尔旗赵二成渠煤炭有限责任公司,准格尔旗柏树坡煤炭有限责任公司|（2015）昆执字第2203号|https://www.tianyancha.com/lawsuit/556343e086224faea863d9198f87a9db
2016-01-28|中国民生银行股份有限公司总行营业部与包头市津粤煤炭有限公司等金融借款合同纠纷一审民事判决书|金融借款合同纠纷|原告-中国民生银行股份有限公司总行营业部被告-北京大唐燃料有限公司,包头市津粤煤炭有限公司,内蒙古津粤能源集团有限责任公司,准格尔旗柏树坡煤炭有限责任公司,准格尔旗赵二成渠煤炭有限责任公司,伊金霍洛旗新庙三界沟煤矿（普通合伙）|2015年四中民（商）初字第00113号|https://www.tianyancha.com/lawsuit/9cf6e26847674ef49e7e9aa45eaea9e7
2015-09-28|中国民生银行股份有限公司总行营业部与包头市津粤煤炭有限公司等金融借款合同纠纷一审民事判决书|金融借款合同纠纷|原告-中国民生银行股份有限公司总行营业部被告-北京大唐燃料有限公司,包头市津粤煤炭有限公司,内蒙古津粤能源集团有限责任公司,准格尔旗柏树坡煤炭有限责任公司,准格尔旗赵二成渠煤炭有限责任公司,伊金霍洛旗新庙三界沟煤矿（普通合伙）|（2015）四中民（商）初字第113号|https://www.tianyancha.com/lawsuit/48e9eff805a14f0d82464cf5451c8de6
