准国土资函【2016】355号|准格尔旗国土资源局关于呼准鄂铁路大路客运站大路西街道路及管网附属工程用地预审意见|-|-|准格尔旗国土资源局|土地预审
内林资许准[2016]135号|呼准鄂铁路大路客运站锦绣西街道路及管网|-|-|内蒙古自治区林业厅|使用林地
内林资许准[2016]134号|呼准鄂铁路大路客运站站前广场|-|-|内蒙古自治区林业厅|使用林地
内林资许准[2016]139号|呼准鄂铁路大路客运站大路西街道路及管网|-|-|内蒙古自治区林业厅|使用林地
准国土资函【2016】349号|准格尔旗国土资源局关于呼准鄂铁路大路客运站站前广场项目用地预审意见|-|-|准格尔旗国土资源局 |土地预审
内林资许准[2016]39号|准格尔旗大路新区北部区新村二路、新村五路、新村六路等道路管网市政基础设施
|-|-|内蒙古自治区林业厅|使用林地
内林资许准[2016]136号|呼准鄂铁路大路客运站市政区与沿黄高速连接道路及管网|-|-|内蒙古自治区林业厅|使用林地
内林资许准[2016]137号|呼准鄂铁路大路客运站新村二路延长段道路及管网|-|-|内蒙古自治区林业厅|使用林地
准国土资函【2016】351号|准格尔旗国土资源局关于呼准鄂铁路大路客运站市政区与沿黄高速连接道路及管网附属工程项目用地预审意见|-|-|准格尔旗国土资源局|土地预审
准国土资函【2016】354号|准格尔旗国土资源局关于呼准鄂铁路大路客运站新村五路延长线段道路及管网附属工程用地预审意见|-|-|准格尔旗国土资源局|土地预审
内林资许准[2016]38号|准格尔旗大路新区市政东区胜州西路、站前街、吉祥二街、城壕南路和纬三路延长段道路及管网工程|-|-|内蒙古自治区林业厅|使用林地
内林资许准[2015]235号|准格尔旗大路新区林苑东街东段市政基础设施|-|-|内蒙古自治区林业厅|使用林地
准国土资函【2016】352号|准格尔旗国土资源局关于呼准鄂铁路大路客运站纬九街道路及管网附属工程项目用地预审意见|-|-|准格尔旗国土资源局|土地预审
准国许准2016188号|对增值税防伪税控系统最高开票限额的审批|-|-|鄂尔多斯市准格尔旗国家税务局|增值税专用发票（增值税税控系统）最高开票限额审批
内林资许准[2016]138号|呼准鄂铁路大路客运站纬九街道路及管网|-|-|内蒙古自治区林业厅|使用林地
准国土资函【2016】353号|准格尔旗国土资源局关于呼准鄂铁路大路客运站锦绣西街道路及管网附属工程项目用地预审意见|-|-|准格尔旗国土资源局|土地预审
内林资许准[2015]236号|准格尔旗大路新区林苑东街西段市政基础设施|-|-|内蒙古自治区林业厅|使用林地
准国 许准 〔2016〕 203 号|准予税务行政许可决定书|-|-|准格尔旗国家税务局|对增值税防伪税控系统最高开票限额的审批
准国土资函【2016】350号|准格尔旗国土资源局关于呼准鄂铁路大路客运站新村二路延长段道路及管网附属工程项目用地预审意见|-|-|准格尔旗国土资源局|土地预审
内林资许准[2016]133号|呼准鄂铁路大路客运站新村五路延长段道及管网|-|-|内蒙古自治区林业厅|使用林地
准国土资函【2016】96号|准格尔旗国土资源局关于鄂尔多斯市准格尔旗2016年王青塔片区B区棚户区改造（小区外）配套基础设施项目用地预审意见|-|-|准格尔旗国土资源局 |土地预审
