152628201000054|建设工程规划许可证|2010年12月14日|-|丰镇市城市规划管理局|房地产开发
丰国内字1526022779483439|税务登记证|2011年12月12日|-|内蒙古自治区丰镇市地方税务局|房地产开发、建材经营及其他相关业务；商品房销售
152628201000053|建设用地规划许可证|2010年12月14日|-|丰镇市城市规划管理局|房地产开发、商业
77948343-9|组织机构代码证|2011年11月10日|-|丰镇市质量技术监督局|房地产开发
15260200000574|法人证|2010年10月27日|-|丰镇市工商行政管理局|房地产开发
丰国用（2006）第856号|土地证|2006年12月05日|-|丰镇市国土资源局|房地产开发
内地税字15098177948343-9号|税务登记证|2012年01月17日|-|内蒙古自治区丰镇市地方税务局|房地产开发、建材经营及其他相关业务；商品房销售
（2011）房预销售证第009号|商品房预销售许可证|2011年07月27日|-|丰镇市房管局房地产市场监管所|商品房屋公开预销售
G1015098100005960K|机构信用代码证|2013年06月03日|-|中国人民银行征信中心|房地产开发
152628201111180101|建设施工许可证|2011年11月15日|-|丰镇市建设局|房地产开发
152602000000574|丰镇市工商行政管理局|2011年10月27日|-|企业法人法定代表人证书|房地产开发
152602000000574|企业法人营业执照|2011年10月27日|-|丰镇市工商行政管理局|房地产开发、建材经营及其他相关业务；商品房销售
152628201104180101|建施工许可证|2011年06月15日|-|内蒙古丰镇市建设局|房地产开发
1910-00539492|J2039000059604|2012年04月17日|-|中国人民银行丰镇市支行|房地产开发
内建房资质证字（2007）J067|资质证书|2013年01月24日|-|中华人民人民共和国住房和城乡建设部|房地产开发
（2014）房预销售证第004号|商品房预销售许可证|2014年05月14日|-|丰镇市房管局房地产市场监管所|商品房屋公开预销售
152628201104180201|建设施工许可证|2011年06月15日|-|丰镇市建设局|房地产开发
