4月8日今日股票市场深市上市公司公告一览|-|同时由于报告期末锌锭价格的持续走低，公司在年末计提了大量的存货跌价准备。 华通热力：拟收购和然有限70%股权 进军内蒙市场 华通热力（002893）4月7日晚间公告|-|中国投资咨询网|-|2019年04月08日|-|https://news.tianyancha.com/detail/35c21e9abf27f3c9d5fb24c04970f12d6d17bb73.html
股海导航3月29日沪深股市公告提示|-| 重大投资 华通热力（16.820, -0.13, -0.77%）：拟收购和然有限70%股权 进军内蒙市场 华通热力（002893）4月7日晚间公告|-|微信公众号|-|2019年04月08日|-|https://news.tianyancha.com/detail/a049fc99bf1520ed29b767838300706c0c3e7394.html
【早间资讯】2019-04-08|-|国新健康拟购买京颐科技、云顶伟业；中闽能源拟收购中闽海电，拓展海上风电业务；华通热力拟收购和然有限70%股权；亚宝药业控股股东所持8.18%股份转让予晋亚纾困|-|微信公众号|-|2019年04月08日|-|https://news.tianyancha.com/detail/749906824ce3be53f5606ddf6833e0c7880ba8e3.html
4月8日飘红投资内参|-|人民网（603000）拟2.52亿元购买硕格科技公司房产 华通热力（002893）：拟收购和然有限70%股权 进军内蒙市场 兴发集团（600141）|-|微信公众号|-|2019年04月08日|-|https://news.tianyancha.com/detail/5a483136b8370c958e3bfea5bf72a37648417e2f.html
4月8日丨沪深两市重要公告|-|云服务和大数据等方面的业务发展提供重要支撑。 华通热力（002893）：拟收购和然有限70%股权 进军内蒙市场|-|微信公众号|-|2019年04月08日|-|https://news.tianyancha.com/detail/2423f9bbe5b216dc2bc79b0feca09c34ac529339.html
4月8日实战攻略+个股狙击|-|诚志股份：子公司将成为云南汉盟控股股东 持有其49%股权 华通热力：拟收购和然有限70%股权 进军内蒙市场 纳尔股份：一季度净利润预增60%-100% 创维数字|-|新浪网|-|2019年04月08日|-|https://news.tianyancha.com/detail/47b054d0c758effbabfeedaf931660d8efbe5bf2.html
北京华远意通热力科技股份有限公司关于全资子公司签订股权收购意向性协议的公告|-|（以下简称“本协议”），拟以现金+承债方式收购三明沙县骁飞企业管理服务合伙企业（有限合伙）持有的和然节能有限责任公司（以下简称“和然有限”、“目标公司”）70%股权。收购完成后|-|证券日报-电子版|-|2019年04月08日|-|https://news.tianyancha.com/detail/2f22347f3c7888efa168c777826f9c146c62b469.html
北京华远意通热力科技股份有限公司第二届董事会第十二次会议决议公告|-|，华意龙达拟以现金+承债方式收购三明沙县骁飞企业管理服务合伙企业（有限合伙）持有的和然节能有限责任公司70%股权。收购完成后，和然节能有限责任公司将成为华意龙达的控股子公司。 　|-|证券日报-电子版|-|2019年04月08日|-|https://news.tianyancha.com/detail/03cb62740928b7133c07e8681babd9b0d289d78d.html
北京华远意通热力科技股份有限公司公告（系列）|-|，华意龙达拟以现金+承债方式收购三明沙县骁飞企业管理服务合伙企业（有限合伙）持有的和然节能有限责任公司70%股权。收购完成后，和然节能有限责任公司将成为华意龙达的控股子公司。|-|证券时报-电子版|-|2019年04月08日|-|https://news.tianyancha.com/detail/e670307590ffa357d235aa95515b7bab6036235c.html
华通热力“卖旧迎新”专注供热拟收购和然有限70%股权|-|又转手准备买进新资产，目的既是专注供热业务。 拟并入和然有限 4月7日晚间华通热力公告称，公司全资子公司北京华意龙达科技发展有限公司（下称"华意龙达"|-|云掌财经|-|2019年04月07日|-|https://news.tianyancha.com/detail/040e2843bdc6843978f8f1d092bc435ddcc6321c.html
华通热力(002893.SZ)拟收购热力生产供应公司和然节能70%股权进军内蒙市场|-|股权收购意向性协议》，拟以现金+承债方式收购三明沙县骁飞企业管理服务合伙企业（有限合伙）持有的和然节能有限责任公司（"和然有限"）70%股权。收购完成后|-|东方财富网|-|2019年04月07日|-|https://news.tianyancha.com/detail/0952709ecfb907174bd6bdf7ea135a51a70838f7.html
内蒙古东部人才市场2019年定期人才交流会第14场（3月15日）招聘单位需求岗位信息|-|联系人:张丽巍 电话:0476-8210903Email:2641293644@qq.con 5、和然节能有限责任公司 职位:财务人员 2人学历:本科 专业:财务类 年龄:18-40|-|微信公众号|-|2019年03月22日|-|https://news.tianyancha.com/detail/8cdb2c2b814cf23960b1b1b03ceffc3c0a1ec2ff.html
内蒙古东部人才市场2019年定期人才交流会第13场（3月15日）招聘单位需求岗位信息|-|http://www.cfrc.gov.cn 微公众号：蒙东人才市场 mdrcsc 1、和然节能有限责任公司 职位:财务人员 2-4人 薪资:3000-5000元/月 说明:1|-|微信公众号|-|2019年03月17日|-|https://news.tianyancha.com/detail/8a6ed08757a2888393edd985c5b0c314a567efaa.html
2019年全区高校毕业生就业洽谈会暨春季人才云服务交流大会赤峰分会场（3月4日）招聘单位需求岗位信息|-|http://www.cfrc.gov.cn 微信公众号：蒙东人才市场 mdrcsc 1、和然节能有限责任公司 职位:财务人员 2-4人 专业:财务类 年龄:18-40|-|微信公众号|-|2019年03月05日|-|https://news.tianyancha.com/detail/575992c2c5e3d18c768a11278e0fc1afa716b3db.html
九源天能董事长贾真当选为节能低碳企业CEO联盟理事会副理事长|-|晶 董事长 北京爱索能源科技股份有限公司 王 佳 总 裁 北控热力能源有限公司 宿颖波 总经理 和然节能有限责任公司 刘瀚波 总经理 思安新能源股份有限公司 张誉铧 董事长|-|微信公众号|-|2017年11月02日|-|https://news.tianyancha.com/detail/9b3acccac36c76926fee1f7e13b504fd655665a9.html
