2018-12-17|内蒙古能源发电金山热电有限公司与三信高科工程技术（北京）有限公司合同纠纷一审民事判决书|合同纠纷|原告-内蒙古能源发电金山热电有限公司被告-三信高科工程技术（北京）有限公司|（2016）内01民初88号|https://www.tianyancha.com/lawsuit/41c24ef8038411e9a8b47cd30ae00894
2018-10-18|内蒙古能源发电金山热电有限公司执行复议执行实施类执行裁定书执行实施类执行裁定书|-|复议申请人-内蒙古能源发电金山热电有限公司,宁波祥宏能源有限公司被执行人-内蒙古国电能源投资有限公司金山热电厂|（2018）内01执复33号|https://www.tianyancha.com/lawsuit/9e441ad2e9a711e8a8b47cd30ae00894
2018-08-24|内蒙古能源发电金山热电有限公司、中曼电力管道（天津）有限公司买卖合同纠纷二审民事判决书|买卖合同纠纷|上诉人-内蒙古能源发电金山热电有限公司,中曼电力管道（天津）有限公司|（2018）内01民终803号|https://www.tianyancha.com/lawsuit/c94e0719bd6a11e8a8b47cd30ae00894
2018-05-21|内蒙古能源发电金山热电有限公司与鄂尔多斯市煜强煤炭经销有限公司、天津冀物港湾金属矿产品市场管理有限公司债权转让合同纠纷二审民事判决书|债权转让合同纠纷|上诉人-内蒙古能源发电金山热电有限公司被上诉人-鄂尔多斯市煜强煤炭经销有限公司,天津冀物港湾金属矿产品市场管理有限公司|（2017）内01民终4034号|https://www.tianyancha.com/lawsuit/546e6f318a3111e8a8b47cd30ae00894
2018-05-21|内蒙古能源发电金山热电有限公司与江苏富盛经贸有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-内蒙古能源发电金山热电有限公司被告-江苏富盛经贸有限公司|（2016）内0121民初1527号|https://www.tianyancha.com/lawsuit/530819938a3111e8a8b47cd30ae00894
2018-05-21|内蒙古能源发电金山热电有限公司、江苏富盛经贸有限公司买卖合同纠纷二审民事判决书|买卖合同纠纷|上诉人-内蒙古能源发电金山热电有限公司,江苏富盛经贸有限公司|（2017）内01民终2864号|https://www.tianyancha.com/lawsuit/55132a788a3111e8a8b47cd30ae00894
2017-11-22|中曼电力管道（天津）有限公司与内蒙古能源发电金山热电有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-中曼电力管道（天津）有限公司被告-内蒙古能源发电金山热电有限公司|（2017）内0121民初2540号|https://www.tianyancha.com/lawsuit/54a4608e045b11e881ec008cfaf870e0
2017-10-13|陕西凌科国际贸易有限公司与内蒙古能源发电金山热电有限公司合同、无因管理、不当得利执行实施类执行裁定书|-|申请执行人-陕西凌科国际贸易有限公司被执行人-内蒙古能源发电金山热电有限公司|（2017）内0121执136号|https://www.tianyancha.com/lawsuit/d3bb0e70006111e881ec008cfaf870e0
2017-09-30|鄂尔多斯市煜强煤炭经销有限公司与内蒙古能源发电金山热电有限公司债权转让合同纠纷一审民事判决书|债权转让合同纠纷|原告-鄂尔多斯市煜强煤炭经销有限公司被告-内蒙古能源发电金山热电有限公司|（2017）内0121民初1310号|https://www.tianyancha.com/lawsuit/69a27098398d11e8b0207cd30ae00c08
2017-09-29|内蒙古双全阀门有限公司与内蒙古能源发电投资集团有限公司、内蒙古能源发电金山热电有限公司其他民事裁定书|-|申请人-内蒙古双全阀门有限公司被申请人-内蒙古能源发电投资集团有限公司,内蒙古能源发电金山热电有限公司|（2017）内0104财保2号|https://www.tianyancha.com/lawsuit/0ea0d6f7424c11e8b0207cd30ae00c08
2016-12-27|河南林九建设工程有限公司诉内蒙古能源发电金山热电有限公司建设工程施工合同纠纷一审民事裁定书|建设工程施工合同纠纷|原告-河南林九建设工程有限公司被告-内蒙古能源发电金山热电有限公司|（2016）内0121民初1864号|https://www.tianyancha.com/lawsuit/d12286c66fff43cd87d6172e3f272823
2016-08-12|华冠公司诉金山热电公司等买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-内蒙古华冠煤业有限公司被告-内蒙古能源发电金山热电有限公司,内蒙古能源发电兴安热电有限公司,内蒙古能源发电投资集团有限公司|（2016）内0121民初1194号|https://www.tianyancha.com/lawsuit/a9610e5685c845d9911509e007422eab
