2019-04-24|ＸＸ与苏政伟、冯四女等建设工程合同纠纷二审民事裁定书|建设工程合同纠纷|被上诉人-内蒙古天骄公路工程有限责任公司,鄂尔多斯市物流园区建设投资有限公司|（2018）内06民终2238号|https://www.tianyancha.com/lawsuit/328ec89aa24540f3bd7fd5b1747ed291
2019-04-24|ＸＸ与思军、内蒙古天骄公路工程有限责任公司等建设工程合同纠纷一审民事判决书|建设工程合同纠纷|被告-内蒙古天骄公路工程有限责任公司,鄂尔多斯市物流园区建设投资有限公司|（2018）内0627民初1254号|https://www.tianyancha.com/lawsuit/528cc28d77d54e6aa26d3b8a7ea9f0c5
2019-01-04|江苏山水建设集团有限公司、崔红革与冯玉娃、鄂尔多斯市物流园区建设投资有限公司等承揽合同纠纷再审审查与审判监督民事裁定书|承揽合同纠纷|再审申请人-江苏山水建设集团有限公司被告-鄂尔多斯市物流园区建设投资有限公司|（2018）内民申2227号|https://www.tianyancha.com/lawsuit/230d7d08107211e9a8b47cd30ae00894
2018-11-12|镇江西门子母线有限公司与鄂尔多斯市物流园区建设投资有限公司买卖合同纠纷一案冻结执行裁定书|买卖合同纠纷|申请执行人-镇江西门子母线有限公司被执行人-鄂尔多斯市物流园区建设投资有限公司|（2018）内0627执1840号|https://www.tianyancha.com/lawsuit/d0b4b9f1e63211e8a8b47cd30ae00894
2018-11-12|镇江西门子母线有限公司与鄂尔多斯市物流园区建设投资有限公司买卖合同纠纷一案解除冻结执行裁定书|买卖合同纠纷|申请执行人-镇江西门子母线有限公司被执行人-鄂尔多斯市物流园区建设投资有限公司|（2018）内0627执1840号之一|https://www.tianyancha.com/lawsuit/a5bc6118e63111e8a8b47cd30ae00894
2018-10-24|天津市美兴建筑设计事务所、鄂尔多斯市物流园区建设投资有限公司建设工程设计合同纠纷执行实施类执行裁定书|建设工程设计合同纠纷|申请人-天津市美兴建筑设计事务所被申请人-鄂尔多斯市物流园区建设投资有限公司|（2018）津0103执保字1393号|https://www.tianyancha.com/lawsuit/08d6d4e2d73e11e8a8b47cd30ae00894
2018-07-18|江苏大全长江电器股份有限公司与鄂尔多斯市物流园区建设投资有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-江苏大全长江电器股份有限公司被告-鄂尔多斯市物流园区建设投资有限公司|（2017）内0627民初3143号|https://www.tianyancha.com/lawsuit/edbbb0a692c711e8a8b47cd30ae00894
2018-07-06|冯玉娃、江苏山水建设集团有限公司等与鄂尔多斯市物流园区建设投资有限公司、江苏山水建设集团有限公司阿康中心物流园区绿化工程项目部承揽合同纠纷二审民事判决书|承揽合同纠纷|上诉人-江苏山水建设集团有限公司被告-鄂尔多斯市物流园区建设投资有限公司|（2017）内06民终1980号|https://www.tianyancha.com/lawsuit/e71d871d9e4511e8a8b47cd30ae00894
2018-05-14|镇江西门子母线有限公司与鄂尔多斯市物流园区建设投资有限公司、鄂尔多斯市鸿汗精密电子有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-镇江西门子母线有限公司被告-鄂尔多斯市物流园区建设投资有限公司,鄂尔多斯市鸿汗精密电子有限公司|（2018）内0627民初106号|https://www.tianyancha.com/lawsuit/cf74d60191d211e8a8b47cd30ae00894
2017-12-28|唐盛国际机械（昆山）有限公司与鄂尔多斯市物流园区建设投资有限公司、鄂尔多斯市鸿汗精密电子有限公司买卖合同纠纷一审民事判决书|买卖合同纠纷|原告-唐盛国际机械（昆山）有限公司被告-鄂尔多斯市物流园区建设投资有限公司,鄂尔多斯市鸿汗精密电子有限公司|（2017）内0627民初893号|https://www.tianyancha.com/lawsuit/fd0467360a9511e881ec008cfaf870e0
2017-12-28|武汉佳宏通机电设备安装有限公司与鄂尔多斯市物流园区建设投资有限公司、鄂尔多斯市鸿汗精密电子有限公司建设工程合同纠纷一审民事判决书|建设工程合同纠纷|原告-武汉佳宏通机电设备安装有限公司被告-鄂尔多斯市鸿汗精密电子有限公司,鄂尔多斯市物流园区建设投资有限公司|（2016）内0627民初4949号|https://www.tianyancha.com/lawsuit/35ef385c36b111e8b0207cd30ae00c08
