阿左环发〔2015〕351|环境影响报告书|-|-|阿左旗环保局|固体废物处置
建字第152921201700074号|建设工程规划许可证|2017年11月03日|2019年11月03日|阿拉善盟阿拉善左旗住房和城乡建设局|南北侧停车场硬化 22500㎡
南北侧绿化及土方工程31600㎡
南侧维修及配套工程8908㎡
新建厕所 98㎡  围墙维修360m   
展厅布展 328㎡
建字第1529212017000101号|建设工程规划许可证|2017年11月17日|2019年11月17日|阿拉善盟阿拉善左旗住房和城乡建设局|建筑规模431.5㎡
建字第1529212017000100号|建设工程规划许可证|2017年11月17日|2019年11月17日|阿拉善盟阿拉善左旗住房和城乡建设局|建筑规模77.4㎡
建字第1529212017000103|建设工程规划许可证|2017年11月23日|2019年11月23日|阿拉善盟阿拉善左旗住房和城乡建设局|管理用房544.59㎡、卫生间134.46㎡、水系24300㎡、硬化17500㎡、绿化117500㎡
建字第1529212017000105号|建设工程规划许可证|2017年12月07日|2019年12月07日|阿拉善盟阿拉善左旗住房和城乡建设局|项目对定远营内东府花园、延福寺、王府等进行基础设施提升改造，主要内容包括排水系统、低压配电系统、加固东侧围墙和泄洪工程、扩建停车场、道路硬化、绿化、天然气外网管道铺设，王府北围墙、后围墙，百胜门-南门道路，百胜门非遗体验区，绣楼卫生间、烧烤房、厨房、水电暖、室外管网、高清视频监控，贺兰门入口，延福寺厨房、厢房维修、牌匾、香炉制作安装、给排水、院面、大雄宝殿，僧舍等基础设施改造等。
建字第1529212017000104号|建设工程规划许可证|2017年12月07日|2019年12月07日|阿拉善盟阿拉善左旗住房和城乡建设局|巷道铺设青石板 5173.79㎡,路缘石1871.61m
路灯17盏,广场铺装1950㎡,化粪池4个32㎡.
建字第152921201800005号|建设工程规划许可证|2018年02月26日|2020年02月26日|阿拉善盟阿拉善左旗住房和城乡建设局|建筑规模765.71㎡
建字第152921201800008号|建设工程规划许可证|2018年03月08日|2020年03月08日|阿拉善盟阿拉善左旗住房和城乡建设局|环湖道路铺装 2580平方米，亲水平台 131㎡ 2个木栈道、台阶、景观台 500平方米路灯及广告牌更换 22个。
建字第152921201800007号|建设工程规划许可证|2018年03月08日|2020年03月08日|阿拉善盟阿拉善左旗住房和城乡建设局|景观桥1座 13.4米,滨河大道两侧街立面改造 1250㎡,滨河大道景观护栏 10.4千米.
152921201800056|阿拉善左旗木仁高勒房车营地项目|2018年06月08日|2020年06月08日|阿拉善盟阿拉善左旗住房和城乡建设局|城市市政基础设施
152921201800057|阿左旗定远营商务旅游一期工程|2018年06月11日|2020年06月11日|阿拉善盟阿拉善左旗住房和城乡建设局|城市市政基础设施
152921201800102|建设工程规划许可证|2018年11月27日|2020年11月27日|阿拉善盟阿拉善左旗住房和城乡建设局|公共管理与公共服务用地
（阿）雷竣许字〔2018〕第28号|防雷装置竣工验收意见书|2018年11月27日|-|阿拉善盟气象局|阿拉善左旗老年养护中心楼项目的防雷装置竣工验收
